"Cell","mapping_error_score","mapping_error_QC","UMAP1_projected","UMAP2_projected","predicted_CellType","predicted_CellType_prob","predicted_Pseudotime"
"S2PL01-01A-516-REL",6.74659862895609,"Pass",3.28778839111328,3.73427653312683,"MPP-MkEry",0.866666666666667,0.3267418
"S2PL01-01C-516-REL",8.34899584797537,"Pass",2.44567561149597,3.75597929954529,"HSC",0.903225806451613,0.015917465
"S2PL01-01E-516-REL",10.1844650685163,"Pass",3.03837513923645,3.34107184410095,"HSC",0.566666666666667,0.01363219
"S2PL01-01G-516-REL",8.98249756751048,"Pass",3.29230761528015,1.91377508640289,"MPP-MyLy",0.666666666666667,0.470681676004431
"S2PL01-01I-516-REL",16.2938683817689,"Pass",2.44450259208679,-1.55075335502625,"CLP",0.433333333333333,5.6705155
"S2PL01-01K-516-REL",9.85003947070514,"Pass",2.2389829158783,2.91049718856812,"HSC",1,0.0048630145
"S2PL01-01M-516-REL",8.06865895997109,"Pass",5.62485456466675,1.40661299228668,"Cycling Progenitor",1,3.934037
"S2PL01-01O-516-REL",8.85584519164391,"Pass",3.44091653823853,1.73781299591064,"LMPP",0.866666666666667,0.27887415
"S2PL01-03A-516-REL",7.62308436312689,"Pass",3.00165319442749,3.41195869445801,"MPP-MkEry",0.6,0.01363215
"S2PL01-03C-516-REL",8.46619690025189,"Pass",3.48360371589661,1.91826212406158,"LMPP",0.633333333333333,0.40583447854714
"S2PL01-03E-516-REL",15.6968270669215,"Pass",3.87923288345337,4.19545030593872,"MPP-MkEry",0.6,1.014994
"S2PL01-03G-516-REL",8.69440298418831,"Pass",2.65159368515015,2.38999390602112,"MPP-MyLy",0.766666666666667,0.0004005911
"S2PL01-03I-516-REL",10.0355686712944,"Pass",3.36580753326416,3.70277738571167,"MPP-MkEry",0.866666666666667,0.28335335
"S2PL01-03K-516-REL",9.22414157049216,"Pass",3.28871655464172,4.05751180648804,"MPP-MkEry",0.8,0.3681177
"S2PL01-03M-516-REL",10.1614994476148,"Pass",2.70963358879089,3.58322954177856,"HSC",0.766666666666667,0.0082452715
"S2PL01-03O-516-REL",6.37430136777846,"Pass",3.97079515457153,1.76785612106323,"LMPP",0.5,0.3463512
"S2PL01-05A-516-REL",7.31977216529133,"Pass",2.03733658790588,2.94230318069458,"HSC",1,0.004862895
"S2PL01-05C-516-REL",9.62398535554836,"Pass",2.7353892326355,2.29717397689819,"MPP-MyLy",0.733333333333333,0.27537825
"S2PL01-05E-516-REL",16.5496941628417,"Pass",4.44553756713867,4.68121433258057,"MEP",0.833333333333333,2.638398
"S2PL01-05G-516-REL",11.0250587437098,"Pass",3.08891940116882,2.99161767959595,"MPP-MkEry",0.466666666666667,1.248832e-07
