,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,ISG15,86.64161831,0.765028665,0.301145219,2.540397846,0.011072643,0.034608137
2,TTLL10,2.331366529,3.260061544,0.763084056,4.272218137,1.93538E-05,0.000158902
3,UBE2J2,70.30128519,-0.878890469,0.313276263,-2.805480569,0.005024161,0.018220444
4,ACAP3,16.19895398,-0.901382172,0.328208743,-2.746368558,0.006025903,0.021153983
5,PUSL1,11.56289946,1.748962907,0.70128621,2.493935972,0.012633533,0.038382418
6,CPTP,4.831879363,2.842947969,0.79673126,3.568264625,0.000359353,0.001982314
7,DVL1,18.89528483,1.273180898,0.43630777,2.918079818,0.003521942,0.013472013
8,AURKAIP1,57.00355775,0.807570662,0.283859514,2.844965984,0.004441617,0.016419817
9,CCNL2,182.9357625,-0.585378871,0.207505178,-2.821032602,0.004786934,0.017504762
10,MRPL20-AS1,4.733082856,1.933449274,0.638144319,3.0297994,0.002447162,0.009930569
11,FNDC10,3.026001609,3.505213316,0.865008064,4.052231953,5.07313E-05,0.000367394
12,RP11-345P4.9,3.54291237,1.982092206,0.787646275,2.516475059,0.011853529,0.036577815
13,CDK11B,132.3437123,-0.981809332,0.210932859,-4.654605904,3.24601E-06,3.30213E-05
14,GNB1,967.7581464,-0.847423631,0.104523139,-8.10752184,5.16626E-16,3.6645E-14
15,PRKCZ,1.433183759,-2.881697319,1.085349114,-2.655087917,0.007928774,0.026510025
16,FAAP20,10.62098893,-1.218807408,0.374584445,-3.253758732,0.00113889,0.005285782
17,SKI,90.54776378,-3.094766797,0.346307993,-8.936457887,4.01844E-19,4.00144E-17
18,PEX10,11.17578559,1.607517629,0.490988855,3.274040977,0.001060212,0.004983158
19,PANK4,3.602591626,1.582821998,0.654799842,2.417260811,0.015637808,0.045704178
20,PRXL2B,3.933930214,2.870578488,0.625994627,4.585627996,4.52624E-06,4.38893E-05
21,MMEL1,1.875817585,3.162607035,0.885333845,3.572219739,0.000353968,0.001957473
22,MEGF6,72.03449322,-1.00259065,0.272842594,-3.674611931,0.000238211,0.001396367
23,DFFB,30.13901796,1.302795426,0.539084247,2.416682426,0.015662676,0.045751035
