,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
73,SORT1,13.26949276,6.745592988,0.536463746,12.57418238,2.92814E-36,6.49403E-33
1443,PLCB4,24.72738307,6.325323778,0.559920536,11.29682405,1.3605E-29,2.15522E-26
1268,HLF,9.88224519,6.26067638,0.757459939,8.265356432,1.39278E-16,7.35454E-14
405,RXFP1,24.72558294,6.157538903,0.415072591,14.83484827,8.72009E-50,4.83485E-46
662,RP11-1D12.2,8.108174173,6.117145379,0.998761437,6.124731242,9.08368E-10,1.57389E-07
1093,ATP10A,9.031133052,5.51225801,0.796577965,6.919922782,4.5189E-12,1.11356E-09
523,HSPA1B,27.45015172,5.454387564,0.596106148,9.150027361,5.69191E-20,3.7128E-17
621,SEMA3A,12.88813326,5.420534502,0.623942285,8.687557541,3.70315E-18,2.28135E-15
251,AC026202.3,6.41028436,5.3319727,0.959536499,5.556821138,2.74732E-08,3.0465E-06
1022,RP11-141M1.3,8.669623707,5.268598799,0.818197525,6.439274918,1.20046E-10,2.33541E-08
417,ZDHHC11B,7.734195552,5.22416083,0.924527793,5.650626047,1.59865E-08,1.99184E-06
1385,RP11-678G14.3,57.73490766,5.216648009,0.466812046,11.17505012,5.40199E-29,7.48783E-26
547,KHDRBS2,12.55587882,5.198583557,0.817853027,6.356378696,2.06565E-10,3.87818E-08
676,ZFPM2,8.864937885,5.108077222,0.710100956,7.193452113,6.31733E-13,1.75132E-10
983,SOCS2,5.787247492,4.956880851,0.644703981,7.688615241,1.48736E-14,5.49778E-12
1275,SKA2,12.74488262,4.940419536,0.724179659,6.822091005,8.97248E-12,2.02318E-09
433,PDE4D,193.3462537,4.873687761,0.383442852,12.71033672,5.18109E-37,1.43633E-33
596,MACC1,43.83366405,4.845541369,0.636291408,7.615286504,2.63107E-14,9.4116E-12
628,TFR2,5.760893241,4.803609986,0.795465366,6.038741838,1.55321E-09,2.42584E-07
430,RP11-506H20.1,4.322660584,4.767355574,1.156805117,4.12113977,3.77003E-05,0.0010404
501,NEDD9,4.408174502,4.762265575,0.685997737,6.942101,3.86311E-12,9.73591E-10
770,TMEM273,3.10203785,4.749475905,0.880306774,5.395250886,6.84279E-08,6.74437E-06
670,CIBAR1,3.045242504,4.748476172,0.905103346,5.246335892,1.55154E-07,1.4219E-05
1475,MIR155HG,12.62135391,4.745065034,0.710205829,6.681253296,2.36907E-11,4.86494E-09
486,HRH2,3.128403636,4.717078898,0.870356571,5.419708489,5.96963E-08,6.01793E-06
1081,STON2,52.89148129,4.712225943,0.459828839,10.24778253,1.2109E-24,1.11897E-21
270,ZNF620,5.753550559,4.545375852,1.021489764,4.449751736,8.59696E-06,0.000351233
209,CDCA7,3.921516889,4.526129249,0.821057157,5.512562933,3.53646E-08,3.80736E-06
1071,COQ6,7.587071021,4.519582564,0.832986189,5.425759304,5.77087E-08,5.87093E-06
806,TAF5,4.739262973,4.445902859,1.297891056,3.425482315,0.000613709,0.008724895
689,TTC39B,2.894883218,4.445790688,1.02129008,4.353112575,1.34218E-05,0.000487982
1102,GOLGA8A,13.08873196,4.444099147,0.46824629,9.490943633,2.28952E-21,1.69257E-18
