,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,NOC2L,41.72154939,2.875372161,0.679160255,4.233716771,2.2986E-05,0.000682214
2,ISG15,47.18222504,3.74945453,0.764663732,4.903403123,9.41904E-07,6.37575E-05
3,B3GALT6,6.507461847,3.880007721,1.392482812,2.786395415,0.005329781,0.032867458
4,INTS11,52.34599014,3.389398384,0.576615238,5.878093679,4.15018E-09,9.46996E-07
5,MRPL20,65.33918427,1.796582119,0.60632543,2.963065756,0.003045915,0.022159941
6,SSU72,57.11608451,2.523265041,0.610250331,4.13480323,3.55259E-05,0.000926154
7,GNB1,607.2712336,-0.974722938,0.256974852,-3.793067422,0.000148798,0.002609597
8,MORN1,11.9165013,5.017433471,1.365156464,3.675354147,0.00023752,0.003631824
9,RER1,51.25649126,1.816565636,0.525850294,3.454530035,0.000551253,0.006752118
10,PRDM16,80.439117,3.41146024,0.743712846,4.587066446,4.49518E-06,0.000208963
11,MEGF6,60.56782521,-1.933224829,0.642897644,-3.007049174,0.002637971,0.020114962
12,TPRG1L,10.13742949,4.829864768,1.831102411,2.637681399,0.008347497,0.044546922
13,CEP104,17.58264851,5.408773763,1.100401004,4.915275199,8.86578E-07,6.10842E-05
14,ICMT,31.68339148,4.02886502,1.081599598,3.724913571,0.000195382,0.003145408
15,ACOT7,60.70416371,2.204196139,0.659042719,3.344542131,0.000824185,0.0088992
16,PER3,5.62295347,4.448051204,1.695247869,2.623835302,0.008694582,0.045975232
17,PARK7,168.7311018,1.550754225,0.533146452,2.908683382,0.003629542,0.025111747
18,RP4-635E18.7,12.39446973,4.293700346,1.509844096,2.843803779,0.004457849,0.029124329
19,CLCN6,16.16413356,4.867200335,1.14522499,4.249994872,2.13775E-05,0.000658099
20,PLOD1,29.03909309,4.044346701,1.104240551,3.662559484,0.000249708,0.003761591
21,MFN2,79.36131109,-2.155035088,0.618463242,-3.484499874,0.000493058,0.006244139
22,TMEM51,11.14266416,5.059321055,1.528858083,3.309215623,0.000935578,0.009736342
23,AGMAT,5.489848104,4.266206501,1.504443843,2.835736622,0.004572013,0.029648727
24,NECAP2,30.5420941,5.886069956,1.035491022,5.684327371,1.31329E-08,2.3752E-06
25,CROCC,23.73866318,-2.884548652,0.730486043,-3.948807343,7.85415E-05,0.001603383
26,ATP13A2,13.67776061,5.047903008,1.095473421,4.60796484,4.06629E-06,0.000196114
27,PADI4,12.95222994,3.380169502,1.236803369,2.732988594,0.006276251,0.036341971
28,PINK1-AS,9.177449253,4.083916801,1.400517781,2.916004963,0.003545449,0.024707145
29,LDLRAD2,17.52543504,4.692803557,1.276396289,3.676603887,0.00023636,0.003623659
30,LINC00339,5.086031248,3.870570728,1.461507494,2.648341349,0.008088781,0.043527492
31,KDM1A,235.9911819,-1.057255959,0.400857329,-2.63748691,0.008352285,0.044551934
32,LUZP1,255.3470782,-2.054910271,0.363070601,-5.65980904,1.51542E-08,2.65772E-06
33,GALE,8.542885456,5.06063071,1.921368089,2.633868408,0.00844182,0.044879932
34,SRRM1,265.9560549,-0.886264509,0.326145095,-2.717393343,0.006579836,0.037536521
35,TMEM50A,137.695246,1.403114352,0.462001806,3.037032182,0.002389199,0.018890016
36,ZNF593,35.47803279,2.930230071,0.953379445,3.073519244,0.0021155,0.017280817
37,NUDC,144.2845583,2.199813668,0.417686604,5.266660805,1.38928E-07,1.48897E-05
38,TMEM222,21.35226676,4.488581869,0.864642871,5.191255282,2.08881E-07,1.96569E-05
39,PPP1R8,36.65854693,2.775503148,0.864521109,3.210451568,0.001325266,0.012522411
40,DNAJC8,147.8533407,1.445407096,0.418615604,3.452826605,0.000554745,0.006783453
41,ATP5IF1,162.2480346,1.311724813,0.452101613,2.90139379,0.003715067,0.02549016
42,SNHG3,200.9862172,2.837917399,0.545591801,5.201539672,1.97644E-07,1.87519E-05
43,SNHG12,37.03816038,1.771008658,0.656859372,2.69617628,0.007014054,0.039316064
44,TAF12,22.6405596,4.308706805,1.070532833,4.024824527,5.70178E-05,0.001294081
45,PUM1,557.5676185,-0.997485483,0.312085624,-3.196191709,0.001392546,0.013009455
46,PEF1,32.08506634,4.990857297,1.175763886,4.244778526,2.18809E-05,0.000668264
47,HDAC1,66.9375865,2.263761903,0.570935434,3.965005095,7.33944E-05,0.001533466
48,ZBTB8OS,70.87550559,2.779089349,0.640905828,4.336189853,1.44974E-05,0.000502416
49,SYNC,11.74357134,5.000935619,1.333598347,3.749956372,0.000176865,0.002937183
50,KIAA1522,15.08883402,3.705333404,1.285737354,2.881874274,0.003953174,0.026790394
51,RP11-415J8.3,12.06119621,5.08955754,1.558386085,3.265915674,0.001091107,0.010833931
52,ZMYM4,142.8114632,2.05537696,0.626756429,3.27938712,0.001040328,0.010480243
53,NCDN,12.29660362,5.610512442,1.306066861,4.295731413,1.74118E-05,0.000572562
54,TFAP2E,18.60992775,5.811514509,1.717468052,3.383768626,0.000714982,0.00807795
55,PSMB2,135.0343446,2.388189852,0.460525534,5.185792484,2.15098E-07,2.00787E-05
56,MAP7D1,75.51213057,-2.30996251,0.716678415,-3.223150666,0.001267888,0.012088805
57,LSM10,25.25585341,4.775043406,1.150698136,4.149692485,3.32922E-05,0.00088792
58,RP5-864K19.4,8.464757822,3.792573646,1.233565805,3.074480203,0.002108697,0.017245235
59,RP11-416A14.2,10.29140052,4.625895957,1.249969381,3.700807417,0.000214915,0.003389037
60,MFSD2A,9.187327528,4.393251725,1.252251892,3.508281165,0.000451012,0.005865729
61,ZMPSTE24,49.83350347,4.083524283,0.932984994,4.376838116,1.20413E-05,0.000441071
62,YBX1,500.4352869,0.928667488,0.354113482,2.622513784,0.008728374,0.046027757
63,P3H1,25.87398803,2.667249941,0.864027816,3.086995454,0.002021907,0.01669299
64,C1orf50,10.24538497,4.461638208,1.231334519,3.62341682,0.000290737,0.004206597
65,SLC2A1,14.0036244,3.926046344,0.971107782,4.042853343,5.28047E-05,0.001212726
66,EBNA1BP2,67.71979642,2.403380851,0.668840803,3.593352619,0.00032645,0.004600147
67,TIE1,8.790518621,4.74016386,1.40257104,3.379624793,0.000725848,0.008172856
68,CDC20,43.00273936,5.195354996,1.117750711,4.648044458,3.35097E-06,0.00017012
