"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PDE4D",7.31455916116602e-25,-3.30034166246956,0.575,0.974,2.67712865298676e-20
"MSRB3",1.81024986365364e-24,4.75996579607137,0.929,0.237,6.62551450097233e-20
"INPP4B",3.05060913105439e-24,-5.40797167859844,0.124,0.816,1.11652294196591e-19
"CFD",4.11511721993249e-24,4.25904528981153,0.973,0.434,1.50613290249529e-19
"PER1",4.24859709883672e-23,3.30004869445303,0.991,0.724,1.55498653817424e-18
"MALAT1",6.79709838823574e-23,1.42406636210639,1,1,2.48773801009428e-18
"DACH1",3.6615856893623e-22,4.5154906274534,0.894,0.211,1.3401403623066e-17
"MPO",3.39298929791034e-21,3.21711589926527,1,0.697,1.24183408303519e-16
"RP11-678G14.3",4.37759328960992e-21,-5.45278809334168,0.168,0.789,1.60219914399723e-16
"PDE3B",1.18575689407933e-19,2.90877683213502,0.982,0.803,4.33987023233035e-15
"MIR23AHG",1.53171451173503e-19,4.61777841008351,0.956,0.434,5.60607511295021e-15
"PIM1",2.03893899454085e-19,-3.81840066053637,0.159,0.776,7.46251672001952e-15
"MT-CO3",3.05319567155151e-19,-1.79836088126247,1,1,1.11746961578785e-14
"CASC15",3.34055948177176e-19,5.74624455863256,0.841,0.329,1.22264477032846e-14
"DNAJC1",5.23776085996453e-19,1.75521753833662,1,0.987,1.91702047474702e-14
"JUN",5.73035877999806e-19,3.35169722918995,0.973,0.553,2.09731131347929e-14
"MT-ND1",1.19779236783919e-18,-1.10394175497758,1,1,4.38392006629145e-14
"NEAT1",1.31948585551815e-18,2.34655297284895,1,1,4.82931823119642e-14
"SORT1",1.32620202248611e-18,-5.5043178121627,0.027,0.592,4.85389940229917e-14
"SNHG3",2.60084870260275e-18,-2.44591004793171,0.77,0.961,9.51910625152605e-14
"CNKSR2",2.80499270337853e-18,-2.40680689892644,0.097,0.697,1.02662732943654e-13
"PLCB4",8.08726556610012e-18,-6.59388407222573,0.186,0.724,2.95993919719264e-13
"AREG",9.65314842662635e-18,7.28892959314567,0.646,0,3.53305232414525e-13
"KYNU",2.01198303591855e-17,-3.22885846323157,0.177,0.75,7.36385791146189e-13
"EGR1",2.28534093452347e-17,5.1432078276413,0.805,0.237,8.36434782035592e-13
