"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MSRB3",1.09895222141954e-178,5.57376159513258,0.947,0.172,4.02216513039552e-174
"DACH1",1.37511683569447e-151,6.36838111490412,0.857,0.168,5.03292761864178e-147
"AREG",8.16308540457228e-146,7.30035945750135,0.709,0.044,2.98768925807346e-141
"MPO",6.0215696817395e-141,4.72508046221507,1,0.477,2.20389450351666e-136
"CFD",1.80495854209202e-134,4.65189113112029,0.919,0.274,6.60614826405678e-130
"PDE4D",2.68841615184154e-133,-2.87376886461227,0.591,0.99,9.83960311574002e-129
"RP11-678G14.3",1.08941881618236e-119,-4.27138984342518,0.23,0.915,3.98727286722744e-115
"PER1",9.52421398224884e-114,3.1834539159807,0.994,0.776,3.48586231750307e-109
"PELI2",4.81371956288031e-111,3.64462330517672,0.776,0.151,1.76182136001419e-106
"INPP4B",8.72356068666859e-110,-3.58185448600322,0.261,0.897,3.1928232113207e-105
"PDE3B",6.35833748492553e-109,3.4131099497276,0.98,0.681,2.32715151948274e-104
"MT-CO3",2.04070510661789e-108,-1.94460195021637,1,1,7.46898069022148e-104
"EGR1",4.88103797648242e-105,4.85140603743002,0.773,0.167,1.78645989939256e-100
"MT-CO2",2.06600724046172e-103,-1.9725509317024,1,1,7.5615865000899e-99
"HBB",7.24464402416215e-102,5.71583668647501,0.77,0.227,2.65153971284335e-97
"MT-CO1",4.48162955184227e-95,-1.74803470222505,1,1,1.64027641597427e-90
"AZU1",3.06308312322544e-92,2.6318414014696,0.922,0.37,1.12108842310051e-87
"MT-ND1",4.53516902999935e-92,-1.15078230024421,1,1,1.65987186497976e-87
"MT-CYB",4.31795634316955e-90,-1.54395641843397,1,1,1.58037202160005e-85
"AF064858.8",1.51670017833441e-89,-3.49445868511561,0.443,0.889,5.55112265270396e-85
"NPR3",1.63744046831788e-88,-2.55115602445393,0.49,0.924,5.99303211404346e-84
"SNHG3",3.21862294504448e-88,-2.34142516464631,0.77,0.984,1.17801599788628e-83
"RXFP1",3.97859617723836e-88,-4.1380635987402,0.266,0.8,1.45616620086924e-83
"MT-ND5",1.02967354556115e-87,-1.56787057405166,0.997,1,3.76860517675382e-83
"KYNU",6.15915397985275e-87,-2.70740276621248,0.224,0.849,2.25425035662611e-82
"STON2",1.41532235042637e-86,-2.6690346687555,0.37,0.884,5.18007980256052e-82
"MT-ND4",2.58413711340263e-83,-1.1723137231307,1,1,9.45794183505362e-79
"HTR1F",1.07397553352668e-81,-1.76779090847718,0.829,0.991,3.93075045270765e-77
"CD109",3.55526879904886e-81,-4.03504423832142,0.202,0.765,1.30122838045188e-76
"CASC15",6.99717671451082e-81,4.03076223580493,0.849,0.452,2.56096667751096e-76
"MIR23AHG",1.33163914976321e-80,3.59749466031207,0.961,0.608,4.87379928813334e-76
"SORT1",9.63570754853752e-80,-5.47457287946866,0.07,0.675,3.52666896276473e-75
"PLXDC2",1.17768821638775e-78,2.86009858965162,0.888,0.503,4.31033887197916e-74
"TCF4",2.62369424499313e-78,-1.81573688939852,0.72,0.975,9.60272093667485e-74
"ARHGAP25",8.27130278028218e-78,-2.10010662872433,0.625,0.957,3.02729681758328e-73
"RAB27B",3.1740911002301e-76,-2.07772648710386,0.507,0.934,1.16171734268422e-71
"JUN",4.94585105729227e-76,2.87627412398492,0.966,0.715,1.81018148696897e-71
"DENND5A",1.10646581437473e-75,1.93626685407128,0.992,0.967,4.04966488061153e-71
"GPHN",1.57527241066967e-75,4.2411211641832,0.759,0.333,5.765497023051e-71
"MT-ATP6",1.99847367290013e-75,-0.948919558095004,1,1,7.31441364281448e-71
"IGHM",3.81094700690343e-75,-3.95773878204418,0.311,0.819,1.39480660452666e-70
"JUND",4.76215506423983e-75,1.7586235586605,0.989,0.978,1.74294875351178e-70
"DNAJC1",1.2739970581744e-74,1.55891908735562,1,0.998,4.66282923291829e-70
"CYFIP2",1.88730249624525e-74,-2.34257963863165,0.364,0.878,6.90752713625761e-70
