"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AREG",2.89592090999416e-14,7.30277525556302,0.889,0.057,1.05990705305786e-09
"MSRB3",1.23736432160125e-09,5.19794219922664,1,0.229,4.52875341706057e-05
"CELSR3",2.6885878025302e-09,3.60883300293999,0.333,0,9.84023135726052e-05
"APOD",2.6885878025302e-09,3.61068308373832,0.333,0,9.84023135726052e-05
"H2AC14",2.6885878025302e-09,4.19387197374314,0.333,0,9.84023135726052e-05
"CDK5R1",2.6885878025302e-09,3.90034019023718,0.333,0,9.84023135726052e-05
"CYP4F2",2.6885878025302e-09,4.70986967829307,0.333,0,9.84023135726052e-05
"MAGEC3",2.6885878025302e-09,3.57270555774836,0.333,0,9.84023135726052e-05
"ARHGAP5",4.07355350642563e-09,5.49619233305113,0.889,0.133,0.000149092058335178
"DACH1",7.45897661878075e-09,7.06109284603339,0.889,0.181,0.000272998544247376
"RP11-62C3.6",6.04207754263324e-08,3.35594825757112,0.444,0.019,0.00221140038060377
"SCTR",6.09786538455449e-08,3.52900568390348,0.556,0.038,0.00223181873074694
"RAB27A",7.30052062869996e-08,4.72826884355919,0.889,0.171,0.00267199055010419
"ST7",1.05252161225847e-07,5.4135232889756,0.667,0.076,0.00385222910086602
"CFD",1.31575251451196e-07,4.06220927892224,1,0.343,0.00481565420311379
"EGR1",2.37984353555514e-07,3.30396446565647,0.889,0.162,0.00871022734013181
"ZNF667",3.37364676979956e-07,5.354506534451,0.444,0.029,0.0123475471774664
"PELI2",3.76274312388148e-07,3.80704898333426,0.889,0.21,0.0137716398334062
"HBB",4.20612067094149e-07,4.13875626433995,0.889,0.248,0.0153944016556459
"LINC01044",4.57097875069493e-07,3.58132250728579,0.333,0.01,0.0167297822275434
"RUNDC3A",4.57097875069493e-07,3.5715408601358,0.333,0.01,0.0167297822275434
"HOMER3",8.35235956123196e-07,3.019162249038,0.778,0.133,0.030569635994109
"CCSER1",9.03478516894122e-07,5.0930626869813,1,0.429,0.0330673137183248
"MPO",9.52123215278872e-07,4.25331759974028,1,0.629,0.0348477096792067
"PDE4D",1.14278903750229e-06,-4.61744559804964,0.667,1,0.0418260787725839
"GPHN",1.15832383475857e-06,5.35287079438272,1,0.476,0.0423946523521638
"CH17-3B23.3",1.16130002761517e-06,4.80993935795917,0.778,0.171,0.0425035810107153
"LINC01135",1.37439817457209e-06,3.71742053800294,0.222,0,0.0503029731893386
"RPE65",1.37439817457209e-06,3.58067745859007,0.222,0,0.0503029731893386
"EMILIN1",1.37439817457209e-06,3.63164180906532,0.222,0,0.0503029731893386
"RP11-44N22.3",1.37439817457209e-06,3.82810977143599,0.222,0,0.0503029731893386
"SEPTIN10",1.37439817457209e-06,3.56592799384905,0.222,0,0.0503029731893386
"RP11-360F5.3",1.37439817457209e-06,3.74315995561487,0.222,0,0.0503029731893386
