Subset,Detail
Shared,ACOT7
Shared,LDLRAD2
Shared,LUZP1
Shared,SNHG3
Shared,HDAC1
Shared,ATP6V0B
Shared,ARMH1
Shared,RP11-386I14.4
Shared,SORT1
Shared,PEX11B
Shared,H2BC21
Shared,MCL1
Shared,LAMTOR2
Shared,NDUFS2
Shared,MIR181A1HG
Shared,ATF3
Shared,DUSP10
Shared,RHOB
Shared,CALM2
Shared,ARHGAP25
Shared,STARD7
Shared,GLI2
Shared,MZT2A
Shared,KYNU
Shared,CDCA7
Shared,STK17B
Shared,HSPE1
Shared,NDUFB3
Shared,ANKRD28
Shared,RP4-613B23.1
Shared,SLC25A20
Shared,PPM1M
Shared,HESX1
Shared,FRMD4B
Shared,HTR1F
Shared,SKIL
Shared,RPL22L1
Shared,TNIK
Shared,LINC01208
Shared,DGKG
Shared,AREG
Shared,CCSER1
Shared,INPP4B
Shared,RXFP1
Shared,CYP4V2
Shared,BASP1
Shared,NPR3
Shared,PDE4D
Shared,FCHO2
Shared,CHD1
Shared,IRF1
Shared,MZB1
Shared,NDUFA2
Shared,CYFIP2
Shared,DUSP1
Shared,HRH2
Shared,LY86
Shared,CASC15
Shared,HSPA1B
Shared,HLA-DRA
Shared,HLA-DPA1
Shared,PIM1
Shared,TMEM14A
Shared,KHDRBS2
Shared,CD109
Shared,USP45
Shared,TSTD3
Shared,VNN1
Shared,IGF2R
Shared,CARD11
Shared,USP42
Shared,MACC1
Shared,RABGEF1
Shared,MDH2
Shared,SEMA3A
Shared,TFR2
Shared,KMT2E
Shared,UBE2H
Shared,DNAJB6
Shared,DPYSL2
Shared,CHCHD7
Shared,CIBAR1
Shared,ZFPM2
Shared,UBAP1
Shared,DAPK1
Shared,GSN
Shared,HSPA5
Shared,PHPT1
Shared,KLF6
Shared,FAM107B
Shared,PLXDC2
Shared,DNAJC1
Shared,APBB1IP
Shared,TMEM273
Shared,ADAMTS14
Shared,PCGF5
Shared,BTAF1
Shared,CUEDC2
Shared,IFITM2
Shared,IFITM1
Shared,NUP98
Shared,HBB
Shared,DENND5A
Shared,PDE3B
Shared,SELENOH
Shared,TRMT112
Shared,NEAT1
Shared,MALAT1
Shared,RNASEH2C
Shared,GAB2
Shared,JAML
Shared,JAM3
Shared,TAPBPL
Shared,TPI1
Shared,ARHGDIB
Shared,PLEKHA5
Shared,BCAT1
Shared,FGD4
Shared,GTSF1
Shared,ORMDL2
Shared,MSRB3
Shared,ATP2B1
Shared,SOCS2-AS1
Shared,SOCS2
Shared,VSIG10
Shared,DYNLL1
Shared,MTUS2
Shared,STARD13
Shared,DACH1
Shared,METTL3
Shared,PSME2
Shared,ARHGAP5
Shared,GPHN
Shared,RP11-718G2.5
Shared,FOS
Shared,BATF
Shared,SLIRP
Shared,STON2
Shared,IGHM
Shared,ATP10A
Shared,GOLGA8A
Shared,GCHFR
Shared,MAP1A
