cell_id,Plate,Sort,Sample,Population,clone
S2PL01-01A-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-01B-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-01C-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-01D-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-01E-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-01F-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-01G-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-01H-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-01I-516-REL,S2PL01,S2,pt4_REL,B-NK,SAIJ
S2PL01-01J-516-REL,S2PL01,S2,pt4_REL,CMP,SAIJ
S2PL01-01K-516-REL,S2PL01,S2,pt4_REL,HSC,SAIJ
S2PL01-01L-516-REL,S2PL01,S2,pt4_REL,CMP,SAIJ
S2PL01-01M-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-01N-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-01O-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-01P-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-03A-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-03B-516-REL,S2PL01,S2,pt4_REL,CMP,SAIJ
S2PL01-03C-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-03D-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-03E-516-REL,S2PL01,S2,pt4_REL,CMP,SAIJ
S2PL01-03F-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-03G-516-REL,S2PL01,S2,pt4_REL,CMP,SAIJ
S2PL01-03H-516-REL,S2PL01,S2,pt4_REL,CMP,SAIJ
S2PL01-03I-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-03J-516-REL,S2PL01,S2,pt4_REL,CMP,SAIJ
S2PL01-03K-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-03L-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-03M-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-03N-516-REL,S2PL01,S2,pt4_REL,CMP,SA
S2PL01-03O-516-REL,S2PL01,S2,pt4_REL,CMP,SAIJ
S2PL01-03P-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-05A-516-REL,S2PL01,S2,pt4_REL,HSC,SAIJ
S2PL01-05B-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-05C-516-REL,S2PL01,S2,pt4_REL,GMP,SAI
S2PL01-05D-516-REL,S2PL01,S2,pt4_REL,CMP,SAIJ
S2PL01-05E-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-05F-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-05G-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-05H-516-REL,S2PL01,S2,pt4_REL,CMP,SAIJ
S2PL01-05I-516-REL,S2PL01,S2,pt4_REL,CMP,SA
S2PL01-05J-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-05K-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-05L-516-REL,S2PL01,S2,pt4_REL,GMP,SAI
S2PL01-05M-516-REL,S2PL01,S2,pt4_REL,GMP,SAI
S2PL01-05N-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-05O-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-05P-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-07A-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-07B-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-07C-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-07D-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-07E-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-07F-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-07G-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-07H-516-REL,S2PL01,S2,pt4_REL,CMP,SAI
S2PL01-07I-516-REL,S2PL01,S2,pt4_REL,GMP,SAIJ
