pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT,0.2590120160213618,0.6843076547105427,0.09314545753378035,0.38617106232542475,1.1883244615003512,12,
GOBP_ACTIN_FILAMENT_BASED_PROCESS,0.4214876033057851,0.8017249663655583,0.05502111171631165,0.20872455155058373,1.0442731193766632,89,
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION,0.2423500611995104,0.6676146725682909,0.09196861400004266,0.35427684093884165,1.225707946528858,18,
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION,0.9361997226074896,0.9725846407927332,0.03170908650855527,0.19138041839638328,0.5520396849529923,10,
GOBP_ACTIN_FILAMENT_ORGANIZATION,0.6440677966101694,0.88559173669467794,0.03668504276134426,0.18497239883876518,0.8659119582402809,59,
GOBP_ACTIN_NUCLEATION,0.1802403204272363,0.6119725906112244,0.11573444770168878,0.41478471628240077,1.2763743136182897,12,
GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION,0.46952595936794583,0.8254135698873172,0.054120056962023176,0.24298552512978838,1.0042611408564155,34,
GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS,0.17346938775510204,0.6081682255632864,0.11524000314778066,0.40182823574454524,1.3265501007151737,15,
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE,0.8893572181243414,0.9555974006793679,0.019677649030837987,0.13500125230507914,0.6501811007399171,68,
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE,0.7340425531914894,0.9014696892665626,0.16823816568963962,-0.11356892851381892,-0.7897992627740912,40,
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION,0.6743119266055045,0.891445201317599,0.11012226383553594,-0.18107502567038014,-0.8174706721767628,16,
GOBP_ADAPTIVE_IMMUNE_RESPONSE,0.35085836909871243,0.7618749762619165,0.06553210292824141,0.24240037222534266,1.1107273448154882,53,
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,0.41993281075027994,0.8017249663655583,0.05896944666909967,0.2494408912646957,1.0486206102204918,36,
GOBP_ADAPTIVE_THERMOGENESIS,0.10076530612244898,0.5180184934977199,0.1563124030731863,0.4326542910086642,1.4484543893482298,16,
GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,0.14419225634178906,0.5780704378544272,0.13145761164276346,0.43534935204599123,1.3396557505352955,12,
GOBP_ADULT_BEHAVIOR,0.5587188612099644,0.8546808948560028,0.10592029273625286,-0.24289443526044469,-0.8895701214865211,10,
GOBP_AEROBIC_RESPIRATION,0.002280017165095347,0.13653046712443714,0.4317076958033464,0.39598005242319617,1.8250119654988828,55,
GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS,0.9617346938775511,0.9828128083498395,0.02611396194055606,0.1448974446934141,0.4850924725193932,16,
GOBP_ALCOHOL_METABOLIC_PROCESS,0.7242128121606949,0.9011341284787612,0.03228784524894372,0.17514786124955273,0.7935194721028459,51,
GOBP_ALPHA_AMINO_ACID_CATABOLIC_PROCESS,0.412987012987013,0.7984640853864396,0.0668966276500666,0.32731322950045255,1.0531208657165965,14,
GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS,0.9154285714285715,0.9657421169339026,0.02279818393775006,0.14333060222619182,0.5856556077927615,33,
GOBP_ALPHA_BETA_T_CELL_ACTIVATION,0.8580024067388689,0.9416366122150719,0.028998111999357784,0.17124325838899507,0.6421580152184871,25,
GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION,0.9695493300852619,0.985106281033835,0.023153825804525897,0.13725643388286135,0.4918754211637324,21,
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION,0.140197152245345,0.5746487119437939,0.11934844059101546,0.3122822923100097,1.357735001523328,41,
GOBP_AMIDE_BIOSYNTHETIC_PROCESS,0.7098078867542973,0.8973251150171052,0.02977746126070601,0.16024995235690975,0.8473148049114054,131,
GOBP_AMIDE_METABOLIC_PROCESS,0.5462776659959758,0.8522414247389096,0.041908174859140085,0.17992386172422786,0.9728609813897764,172,
GOBP_AMIDE_TRANSPORT,0.5367027677496992,0.8521121523820856,0.050908286551510536,0.25490585398922927,0.9558906949402948,25,
GOBP_AMINE_METABOLIC_PROCESS,0.22580645161290322,0.6623353253004821,0.1882041463084906,-0.2891352338456289,-1.1912837639613947,13,
GOBP_AMINO_ACID_CATABOLIC_PROCESS,0.20807833537331702,0.6418630162031218,0.10099058745592349,0.3631401981007488,1.2563729125974374,18,
GOBP_AMINO_ACID_METABOLIC_PROCESS,0.47240618101545256,0.825764321757198,0.052805004567128964,0.22944471475895972,0.9969476721892125,42,
GOBP_AMINO_ACID_TRANSMEMBRANE_TRANSPORT,0.550561797752809,0.8522414247389096,0.11012226383553594,-0.23659725299069562,-0.9047193205203822,11,
GOBP_AMINO_ACID_TRANSPORT,0.550561797752809,0.8522414247389096,0.11012226383553594,-0.23659725299069562,-0.9047193205203822,11,
GOBP_AMYLOID_PRECURSOR_PROTEIN_METABOLIC_PROCESS,0.5842696629213483,0.8649589232843784,0.1063232559327084,-0.2311361176650313,-0.8838365986009559,11,
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,0.6567926455566905,0.8867360945750985,0.03404637275796493,0.17043364737508926,0.8711264388454866,103,
GOBP_ANATOMICAL_STRUCTURE_MATURATION,0.4722222222222222,0.825764321757198,0.15016980212840597,-0.2029231802891768,-0.9783671532867585,19,
GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,0.21352313167259787,0.6458334475705849,0.18138312849840757,-0.335024497539322,-1.2269848119717264,10,
GOBP_ANIMAL_ORGAN_MORPHOGENESIS,0.16227608008429925,0.6011213905242502,0.10714023727672473,0.2727276537771799,1.3134868240654864,68,
GOBP_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION,0.5731225296442688,0.8601219615379967,0.11101149245045029,-0.2282923400920379,-0.9010899042654493,12,
GOBP_ANTEROGRADE_AXONAL_TRANSPORT,0.664886515353805,0.8902096294119901,0.04586203431179851,0.2747205829617851,0.8453693729542626,12,
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION,0.9197080291970803,0.9685551831082986,0.02597357479694484,0.16388519387591838,0.5728148898070357,19,
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN,0.254421768707483,0.6805892405271288,0.09528798461948437,0.40718696838627894,1.2089982460668245,11,
GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,0.38550057537399307,0.7803249887352258,0.06435833679173605,0.2758549928394942,1.0856417860185152,29,
GOBP_APOPTOTIC_MITOCHONDRIAL_CHANGES,0.20437956204379562,0.6378331960126722,0.10171390228231093,0.3612715351119605,1.2627236767481085,19,
GOBP_APOPTOTIC_PROCESS,0.08708708708708708,0.4912412412412412,0.14826150047510658,0.2346252110797451,1.3001173469302014,230,
GOBP_APOPTOTIC_SIGNALING_PATHWAY,0.2326783867631851,0.6648437746959714,0.0847985102819124,0.24155072967099156,1.2124825317883765,93,
GOBP_APPENDAGE_DEVELOPMENT,0.6618037135278515,0.8898752122381023,0.04577044581080999,0.26660666899085866,0.8414423480378014,13,
GOBP_APPENDAGE_MORPHOGENESIS,0.9333333333333333,0.9725846407927332,0.030918431706180992,0.19411443267719114,0.5763544191334414,11,
GOBP_ASPARTATE_FAMILY_AMINO_ACID_METABOLIC_PROCESS,0.1423487544483986,0.5746487119437939,0.22496609354031374,-0.37378210806023027,-1.3689296542347567,10,
