pathway,pval,padj,log2err,ES,NES,size,leadingEdge
KEGG_ACUTE_MYELOID_LEUKEMIA,0.7344497607655502,0.798713744196942,0.06863256318367258,-0.269938675702633,-0.7446686087938407,10,
KEGG_ADHERENS_JUNCTION,0.35167464114832536,0.49277480788506506,0.11012226383553594,-0.3936401095519696,-1.0859186145983637,10,
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.34474327628361856,0.49277480788506506,0.11284335567556247,-0.39090906287851857,-1.0916137879150207,11,
KEGG_ALZHEIMERS_DISEASE,2.528685755798949e-4,0.01441350880805401,0.49849310876659025,0.5671459421140769,2.1881020134205493,35,
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.20323741007194246,0.3620166366906475,0.1281429168984153,0.3953089996223088,1.264383987416229,18,
KEGG_APOPTOSIS,0.4470046082949309,0.5790741516547968,0.09314545753378035,-0.3372440925767573,-0.9775467590989118,12,
KEGG_AXON_GUIDANCE,0.15742397137745975,0.3204702274469716,0.1473312136993771,0.44490890489527324,1.3688942650422686,15,
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.024478143165584804,0.1268412873125758,0.35248785758361917,-0.6024626932580341,-1.8182749111144718,14,
KEGG_CALCIUM_SIGNALING_PATHWAY,0.0017774463305814604,0.025682302495645196,0.45505986738722953,0.6934493317578908,2.117173068151357,14,
KEGG_CELL_ADHESION_MOLECULES_CAMS,0.49119718309859156,0.6086573790569504,0.07343814108388569,0.32985815049355016,0.9572070244738683,12,
KEGG_CELL_CYCLE,0.03758666181179107,0.15303140880514934,0.3217759180753611,0.4627554282835525,1.6987496732993714,30,
KEGG_CHEMOKINE_SIGNALING_PATHWAY,0.07194244604316546,0.18431263858093128,0.22496609354031374,0.4777599760701691,1.5281009644319579,18,
KEGG_CHRONIC_MYELOID_LEUKEMIA,0.3112128146453089,0.49275362318840576,0.11524000314778066,-0.3749517645136035,-1.131630877600561,14,
KEGG_COLORECTAL_CANCER,0.20046082949308755,0.3620166366906475,0.14826150047510658,-0.4526685312949896,-1.3121198130780203,12,
KEGG_DNA_REPLICATION,0.046232876712328765,0.15486228218100057,0.27650059925447157,0.6012669264929977,1.6392909064391037,10,
KEGG_ENDOCYTOSIS,0.4,0.5428571428571429,0.08504274637643215,0.3144560001339023,1.0442705386847457,21,
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,0.04053135058402635,0.1540191322193001,0.3217759180753611,-0.6139001095077583,-1.7794709400971604,12,
KEGG_FATTY_ACID_METABOLISM,0.7048903878583473,0.7878186687828588,0.05389790253573186,0.2677732147425852,0.767129110706291,11,
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,0.11091549295774648,0.24316088840736733,0.17669426893849804,0.47886633662642775,1.4330439474327785,13,
KEGG_FOCAL_ADHESION,0.28314606741573034,0.4746860541969597,0.12043337164225933,-0.3557880194108743,-1.1961852276196416,22,
KEGG_GNRH_SIGNALING_PATHWAY,0.022832129622650615,0.1268412873125758,0.35248785758361917,0.6330529271861826,1.8135993532034111,11,
KEGG_HUNTINGTONS_DISEASE,0.0011773170609585715,0.025682302495645196,0.45505986738722953,0.5531640074238294,2.17373638942367,37,
KEGG_INSULIN_SIGNALING_PATHWAY,0.6556291390728477,0.7474172185430463,0.07028128417173922,-0.2531218884160388,-0.8232011493961968,19,
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,0.43548387096774194,0.5772693173293323,0.09466462231533423,-0.3409263673845413,-0.988220321315992,12,
KEGG_LONG_TERM_POTENTIATION,0.008321677438192773,0.05929195174712351,0.3807304007227924,0.6794737367351659,1.971747652059688,12,
KEGG_LYSOSOME,0.0831858407079646,0.18966371681415928,0.20658792269689108,0.49938278872407516,1.5246676902906977,14,
KEGG_MAPK_SIGNALING_PATHWAY,0.07760532150776053,0.18431263858093128,0.24133997681509095,-0.3977429442534601,-1.5233568370546076,36,
KEGG_MELANOGENESIS,0.0022528335522495786,0.025682302495645196,0.4317076958033464,0.7310293332423514,2.094286700219506,11,
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,0.8495575221238938,0.880450522928399,0.04754341942013011,0.2095898268606241,0.6398995809296487,14,
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,0.4651685393258427,0.5892134831460674,0.08943668337186206,-0.29549925483878714,-0.99349001126024306,22,
KEGG_NUCLEOTIDE_EXCISION_REPAIR,0.048903878583473864,0.15486228218100057,0.26635065708852557,0.5741076325369403,1.644730142337556,11,
KEGG_OOCYTE_MEIOSIS,0.17406749555950266,0.342132663685919,0.13880510939113969,0.42205193727428314,1.322962835271451,16,
KEGG_OXIDATIVE_PHOSPHORYLATION,0.0022239063150314834,0.025682302495645196,0.4317076958033464,0.519311710021036,2.0294402016582094,36,
KEGG_P53_SIGNALING_PATHWAY,0.18761061946902655,0.3564601769911504,0.13284630060618333,0.4349613739079208,1.3279823980643464,14,
KEGG_PANCREATIC_CANCER,0.9486301369863014,0.9486301369863014,0.04098838733747214,0.20376530296178086,0.5555446233195506,10,
KEGG_PARKINSONS_DISEASE,0.0032904570497882145,0.03125934197298804,0.4317076958033464,0.5332134186968216,2.041446206828078,34,
KEGG_PATHWAYS_IN_CANCER,0.13646532438478748,0.28809346259010693,0.1797823162983236,-0.3434149313550903,-1.3729871505455085,42,
KEGG_PROSTATE_CANCER,0.7426636568848759,0.798713744196942,0.06523530560177027,-0.24203029345248314,-0.741331823720631,15,
KEGG_PROTEASOME,0.33220910623946037,0.49277480788506506,0.09225972605273541,0.3885550558290682,1.1131505245030866,11,
KEGG_PURINE_METABOLISM,0.3247706422018349,0.49277480788506506,0.09854998035316907,0.3189886907819598,1.1248594675216739,25,
KEGG_PYRIMIDINE_METABOLISM,0.27223230490018147,0.47021943573667707,0.10882012676916121,0.37880529235251187,1.1994832408331204,17,
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.6312949640287769,0.7343635295844956,0.06211241889494712,0.2556911202197892,0.8432984134881083,20,
KEGG_RENAL_CELL_CARCINOMA,0.06698564593301436,0.18431263858093128,0.27128855468895297,-0.5967348663485614,-1.6461876816499001,10,
KEGG_RIBOSOME,0.0696629213483146,0.18431263858093128,0.25720646646883816,-0.4702966042882407,-1.5811714278091278,22,
KEGG_RNA_DEGRADATION,0.5154109589041096,0.6250728650539202,0.06961334388509648,0.34335768469680894,0.93612854021835,10,
KEGG_SMALL_CELL_LUNG_CANCER,0.7949308755760369,0.8390937019969279,0.06293946920189672,-0.24076370883850257,-0.6978855626066879,12,
