pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOBP_ACTIN_FILAMENT_BASED_PROCESS	0.179941002949853	0.683412495432956	0.122679189568808	0.296894909489839	1.26982529719136	60	PDE4D NEDD9 ARHGAP25 EVL ARHGAP18 CD47 GPD1L
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	0.604501607717042	0.870168637332817	0.0588438169595807	0.273531316037898	0.876875577914912	17	NEDD9 EVL CD47
GOBP_ACTIN_FILAMENT_ORGANIZATION	0.690440060698027	0.896551420391984	0.0499913914024592	0.197159577074659	0.802076069841794	44	NEDD9 ARHGAP25 EVL ARHGAP18 CD47
GOBP_ACTIN_NUCLEATION	0.871287128712871	0.953480079100075	0.0431901998334182	0.229695431472081	0.630527247501184	10	CYFIP1 WASF2 CARMIL1 GSN ARFIP1 IQGAP2 ARPC5 WASHC3 ARPC2 WHAMM
GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION	0.524615384615385	0.841621411228291	0.0635007968065945	0.282626029359023	0.954796323707574	20	EVL ARHGAP18 CYFIP2 NCKAP1L CYFIP1
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	0.113069016152717	0.572445820433437	0.158514105424824	0.325288073070669	1.37913612354829	56	PDE4D HSPA1B IGHM GCSAML HSPA1A CD47 HLA-DRB1 VAV3 NCKAP1L STOML2 BTN3A2 SLC15A2
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	0.449101796407186	0.816555401774811	0.108820126769161	-0.264625144831477	-0.98404388106692	26	RELA PELI1 NFKBIA NFKBIZ TNFAIP3 NOP53
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.326259946949602	0.772186531630262	0.122107920287081	-0.341730457006568	-1.13597658048124	16	S100A10 CNN2 RGCC OBSCN
GOBP_ADAPTIVE_IMMUNE_RESPONSE	0.711940298507463	0.909309886212502	0.0478299633114229	0.191519153683626	0.793054998311404	48	IGHM TAP2 MICA PLA2G4A HLA-DRB1 MR1 NCKAP1L BTN3A2 SH2D1A STAT4 ADGRE1 TEC CTSC RNF168 CARD9 SYK CD79B EIF2AK4 HLA-DMA TRAF3IP2
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	0.332326283987915	0.777101340805579	0.0860347242455604	0.291705194529294	1.11044458757588	34	IGHM TAP2 MICA PLA2G4A HLA-DRB1 MR1 NCKAP1L BTN3A2
GOBP_ADAPTIVE_THERMOGENESIS	0.194719471947195	0.697744774477448	0.125033367555272	0.477482864804954	1.31071808675063	10	NPR3 FABP5 LPIN1
GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	0.00115735056332786	0.350171470194085	0.45505986738723	0.792032358640953	2.1741746443331	10	RXFP1 PDE4D ADGRG1
GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	0.00101619950059947	0.350171470194085	0.45505986738723	0.704482952474458	2.19747859153306	15	RXFP1 PDE4D PRKACB HTR1F P2RY1
GOBP_AEROBIC_RESPIRATION	0.564954682779456	0.855961217997273	0.0590954798717342	0.236981047058687	0.896976964807403	33	MT-CO3 NDUFAB1 SUCLG2 STOML2 IDH2 IDE MT-CO2 NDUFS6 ATP5F1A MT-ND1 ADSL COX6A1 MT-ND5 MDH2 MT-CO1 COX5B SDHA
GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS	0.24483306836248	0.735477142360508	0.107140237276725	0.398009418692157	1.23438138660411	14	P2RY1 PRKAA1 PMVK PPIP5K2 DHFR IMPA2 SPTLC2 PTAFR LPCAT3 HMGCR REST CD244
