pathway	pval	padj	log2err	ES	NES	size	leadingEdge
KEGG_ALZHEIMERS_DISEASE	0.0882825040128411	0.30163188871054	0.190023305279108	0.451832287979775	1.51529483560691	22	PLCB4 MT-CO3 CALM2 NDUFAB1
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	0.0378371596343665	0.193688586545729	0.321775918075361	0.589740673303895	1.7317201453777	14	HSPA1B HSPA1A TAP2 HLA-DRB1 PSME2
KEGG_APOPTOSIS	0.539568345323741	0.624010374010374	0.0847985102819124	-0.324853843717253	-0.904796061987695	10	RELA NFKBIA
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.417690417690418	0.605094537815126	0.100990587455923	-0.342839127787365	-1.01941375652222	13	RELA NFKBIA MAP2K1 FOS RASGRP3
KEGG_CALCIUM_SIGNALING_PATHWAY	0.00793904080820871	0.0813751682841393	0.380730400722792	0.664121256103948	1.85846028700851	12	PLCB4 HRH2 F2R PRKACB CALM2
KEGG_CELL_ADHESION_MOLECULES_CAMS	0.547911547911548	0.624010374010374	0.0852884689790502	-0.30268963322771	-0.900031388075319	13	OCLN NECTIN2 NRXN2 PTPRM ICOSLG ICAM1 CD99
KEGG_CELL_CYCLE	0.460674157303371	0.605094537815126	0.072003313661988	0.296629278882321	0.994795693751532	22	TP53 ORC6 BUB1B ANAPC7 ANAPC5 PTTG1 CHEK1 MCM2 RBL2 GADD45A MCM3 CDK6 BUB3 E2F4 CDKN1B WEE1 HDAC1
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.422077922077922	0.605094537815126	0.0770736734944102	0.323876000775842	1.04691417399258	19	PLCB4 PRKACB VAV3
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.198067632850242	0.514169381107492	0.153158808683073	-0.473459580365936	-1.35600426222231	11	RELA NFKBIA GAB2 MAP2K1 SMAD3 NFKB1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.0267284518264919	0.182644420814362	0.352487857583619	-0.623195384276934	-1.73574898511423	10	CXCR4 CXCL2 IL11RA CXCL8 CSF3R RELT ACVR1B
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	0.232613908872902	0.514169381107492	0.139599673451922	-0.445741042878851	-1.24149597753906	10	RELA NFKBIA
KEGG_ENDOCYTOSIS	0.22866344605475	0.514169381107492	0.112378519110475	0.376331534111885	1.25525044029449	21	HSPA1B HSPA1A F2R
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	0.907894736842105	0.907894736842105	0.0411544018789903	0.18148073335933	0.574517164750895	18	PLA2G4A VAV3 WASF2 VAV1 SYK PLPP1 CFL1 GSN HCK PRKCA PAK1 ARPC5 ASAP2 CRKL ARF6
KEGG_FOCAL_ADHESION	0.544364508393285	0.624010374010374	0.0843144320642653	-0.321933052586465	-0.896660956419035	10	ARHGAP5 MAP2K1
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	0.248299319727891	0.514169381107492	0.110564716336619	0.454732673117497	1.24651185362256	11	LPCAT2 PLA2G4A GPD1L LPCAT4 LYPLA1 MBOAT2
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.427350427350427	0.605094537815126	0.0791316651768349	0.384902532514438	1.02809185770405	10	AKR1A1 PGAM1 PGM2 TPI1 LDHA HK2 ENO1 ACSS1
KEGG_HUNTINGTONS_DISEASE	0.166397415185784	0.514169381107492	0.135002033828631	0.382328551972769	1.33678569406046	27	PLCB4 TP53 MT-CO3 NDUFAB1
KEGG_INSULIN_SIGNALING_PATHWAY	0.440983606557377	0.605094537815126	0.0753093764172773	0.325421526130589	0.999427668619089	16	SOCS2 PPP1CC PRKACB CALM2
KEGG_LEISHMANIA_INFECTION	0.490338164251208	0.609208022251501	0.0905428948469474	-0.331858649031827	-0.950454402453296	11	RELA NFKBIA FOS JAK1 NFKB1
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.334152334152334	0.593247588424437	0.115240003147781	-0.375803303879599	-1.11743096592805	13	ARHGAP5 CXCR4 OCLN
KEGG_LYSOSOME	0.0665529010238908	0.248060812907229	0.227987202850442	0.569673261169221	1.59415938388202	12	SORT1 LAPTM4B
KEGG_MAPK_SIGNALING_PATHWAY	0.347266881028939	0.593247588424437	0.0870515867946735	0.310892138274041	1.10267423984624	28	HSPA1B HSPA1A TP53 PLA2G4A PRKACB MAP4K1
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.625850340136054	0.641496598639456	0.0598603117764473	0.306702575939672	0.840732190683361	11	MICA VAV3 SH2D1A VAV1 SYK ITGAL PRKCA CD244 PAK1
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	0.00155138863934579	0.0636069342131775	0.45505986738723	0.762031167958264	2.08887757542855	11	RXFP1 HRH2 F2R HTR1F P2RY1
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.06	0.246	0.237793834423688	0.547617692135827	1.60802982118241	14	SORT1 ARHGDIB TP53 CALM2
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.00626135572482043	0.0813751682841393	0.407017918923954	-0.721258136313198	-2.00887732755525	10	RELA NFKBIA HSP90B1 CXCL2 CXCL8 TNFAIP3
KEGG_OXIDATIVE_PHOSPHORYLATION	0.607615894039735	0.641496598639456	0.059989249649033	0.255441741357234	0.864707984116881	24	MT-CO3 NDUFAB1 MT-CO2 NDUFS6 ATP5F1A MT-ND1 COX6A1 MT-ND5 MT-CO1 COX5B SDHA ATP6V0B NDUFS2 NDUFA6 MT-CYB TCIRG1 MT-ND4 NDUFB3 NDUFA9 NDUFS3 COX15 NDUFA2 ATP5MC1 NDUFV1
