pathway	pval	padj	log2err	ES	NES	size	leadingEdge
KEGG_ALZHEIMERS_DISEASE	0.00178948464143376	0.0290791254232986	0.45505986738723	0.434023606859479	1.89692275129017	42	PLCB4 NDUFS2 ATP5F1E MT-CO3 MT-CO2 COX7B HSD17B10 NDUFA2 MT-CYB BAD ATP5PD MT-CO1 NDUFA3 APAF1 COX7A2 ATP5PO NDUFS7 SDHC COX7C CALM2 NDUFB2 NDUFA6 CASP7
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	0.371657754010695	0.58921351245598	0.0736212741014394	0.350959152228255	1.08051879134186	12	HSPA8 HLA-DPA1 HSPA1B HLA-DRA CD74 HSP90AB1 IFI30
KEGG_APOPTOSIS	0.605793450881612	0.712026537067037	0.0474483193656297	0.254968861701123	0.893972610165547	18	PIK3R5 TP53 BAD PRKAR1B APAF1
KEGG_AXON_GUIDANCE	0.153743315508021	0.420588235294118	0.126875729929857	0.420814151401124	1.29558552716063	12	DPYSL2 SEMA3A
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.210927573062262	0.440995065789474	0.102449405629826	0.371611952785989	1.2615064585658	16	IFITM1 DAPP1 PIK3R5
KEGG_CALCIUM_SIGNALING_PATHWAY	0.588679245283019	0.712026537067037	0.048701086452153	0.258749109648814	0.892728641976605	17	PLCB4 HRH2 F2R CYSLTR2 CALM2 PRKCA
KEGG_CARDIAC_MUSCLE_CONTRACTION	0.0333032903400974	0.378510378510379	0.321775918075361	0.497350211420946	1.62420738857262	14	MT-CO3 MT-CO2 COX7B MT-CYB MT-CO1 CACNA2D4 COX7A2 COX7C
KEGG_CELL_ADHESION_MOLECULES_CAMS	0.306578947368421	0.539797238999137	0.0828962134571565	0.362954915141561	1.14455239145741	13	ITGB7 HLA-DPA1 ITGA4 JAM3 HLA-DRA ITGB2 PECAM1
KEGG_CELL_CYCLE	0.515222482435597	0.669789227166277	0.051530912208539	0.244193901659007	0.954939200491187	25	CDC26 TP53 CCNE1 CDC20 HDAC1 CDK7 ANAPC11
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.27751756440281	0.515389762462362	0.0819778796501272	0.295293171048367	1.15476685845007	25	CCL5 PLCB4 PIK3R5 CCL1
