pathway	pval	padj	log2err	ES	NES	size	leadingEdge
WP_16P11_2_PROXIMAL_DELETION_SYNDROME	0.237400530503979	0.559243096556529	0.0978773277424561	0.386172439308643	1.23102580362718	13	TP53 CCT7 CCT6A CCT3 CORO1A
WP_1P36_COPY_NUMBER_VARIATION_SYNDROME	0.14030612244898	0.511557408109132	0.130105630751129	0.408730027183353	1.38588987667089	16	INTS11 HSPA8 ISG15 INTS4 NOC2L SSU72
WP_2Q37_COPY_NUMBER_VARIATION_SYNDROME	0.0764411027568922	0.434324447482342	0.179782316298324	0.436283318447653	1.52160677948863	18	NEDD8 TP53 GYS1 UBE2F MEF2C CYTH4 DTYMK
WP_5Q35_COPY_NUMBER_VARIATION	0.73561811505508	0.82839877821518	0.0372254009247509	0.209195556306409	0.778731406547693	23	MT-CO3 MT-CO2 COX7B HIGD2A MT-CO1 COX7C RGS14 PRELID1
WP_7Q11_23_COPY_NUMBER_VARIATION_SYNDROME	0.699126092384519	0.804030874785592	0.0404934829859503	0.2239071196911	0.800348226138311	20	ATP5F1E EIF4H UBE2L6 ATPAF1 LAT2 ATP5PO ERCC6 VPS9D1 MT-ATP6
WP_ACUTE_VIRAL_MYOCARDITIS	0.588948787061995	0.750489589775304	0.0518457624865066	0.281856655874013	0.879653176562511	12	CHRAC1 CASP7 ITGB2 PYCARD AIF1 PARP1
WP_ADIPOGENESIS	0.157258064516129	0.5175983436853	0.227987202850442	-0.315328525800585	-1.29633981215736	13	NCOR1 CTNNB1 NCOR2 CFD KLF6
WP_ALZHEIMER_39_S_DISEASE	0.251384274640089	0.559243096556529	0.0843144320642653	0.270041790421114	1.18827727926007	44	PLCB4 PSMB5 PSMC1 DVL3 PSMB2 HSD17B10 BAD PSMD4 KLC4
WP_ALZHEIMER_39_S_DISEASE_AND_MIRNA_EFFECTS	0.251384274640089	0.559243096556529	0.0843144320642653	0.270041790421114	1.18827727926007	44	PLCB4 PSMB5 PSMC1 DVL3 PSMB2 HSD17B10 BAD PSMD4 KLC4
WP_AMINO_ACID_METABOLISM	0.294041450777202	0.559243096556529	0.0843144320642653	0.352521016564538	1.15157829404228	14	MCCC1 FAH ADH5 FARSB PKM ACSS1
WP_ANDROGEN_RECEPTOR_NETWORK_IN_PROSTATE_CANCER	0.461139896373057	0.67026147728642	0.0614364107201271	0.303930187508656	0.992846923709848	14	ELK1 TP53 BAD
WP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY	0.013329101122409	0.185126404477902	0.380730400722792	-0.391701244847999	-1.78723103660855	17	ROCK1 JUN NCOR1 CTNNB1 NCOR2 SIRT1 RHOB
WP_ANGIOPOIETIN_LIKE_PROTEIN_8_REGULATORY_PATHWAY	0.392183288409704	0.638849021598348	0.0713052987340038	0.33773448027552	1.0540436147864	12	GYS1 FLOT1 SHC1 SLC2A1 RPS6KA4
WP_APOPTOSIS	0.373913043478261	0.63768115942029	0.149207542435322	-0.256980285236859	-1.06701723357502	14	JUN MCL1 SCAF11
WP_APOPTOSIS_MODULATION_AND_SIGNALING	0.674358974358975	0.797818237298479	0.0433636987883266	0.242126647853654	0.806533907650881	15	TP53 CAPNS1 BAD
WP_APOPTOSIS_RELATED_NETWORK_DUE_TO_ALTERED_NOTCH3_IN_OVARIAN_CANCER	0.555160142348754	0.733390854184642	0.106323255932708	-0.250497143144871	-0.92166249699329	10	JUND HSPA5
WP_ARYL_HYDROCARBON_RECEPTOR_PATHWAY_WP2586	0.794729542302358	0.856474574826308	0.0394366509525593	0.247852421250813	0.727604026413894	10	CCL1 AIP
WP_A_NETWORK_MAP_OF_MACROPHAGE_STIMULATING_PROTEIN_MSP_SIGNALING	0.557377049180328	0.733390854184642	0.0550211117163117	0.299953831763146	0.910967792025163	11	ELK1 TP53 SHC1 SLC2A1 RPS6KA4 PARP1
WP_BARDET_BIEDL_SYNDROME	0.296809986130374	0.559243096556529	0.0875697115548511	0.391492538568337	1.14927885689309	10	CEP104 ARL3 IFT172 LZTFL1 OCRL TMEM216 TMEM107
WP_BRAIN_DERIVED_NEUROTROPHIC_FACTOR_BDNF_SIGNALING_PATHWAY	0.0452830188679245	0.339768608865347	0.237793834423688	0.471924610866879	1.62651176089428	17	SORT1 DPYSL2 ELK1 MEF2C BAD SHC1
WP_BREAST_CANCER_PATHWAY	0.676549865229111	0.797818237298479	0.0454967810085007	0.262524116202005	0.819317791255507	12	DVL3 TP53 SHC1
WP_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.704573547589617	0.804030874785592	0.0396787203613389	0.220733418686717	0.782180085073988	19	DAPP1 ELK1 SHC1 CARD11 LAT2
WP_CALCIUM_REGULATION_IN_CARDIAC_CELLS	0.503090234857849	0.710598924884639	0.0551351763385257	0.272213754532699	0.964603270974976	19	ANXA6 STIM2 PRKAR1B GNB2 CALM2 RGS14 PRKCA ARRB1 PRKAR2B YWHAH GNG2
WP_CELL_CYCLE	0.895577395577396	0.91759979055061	0.0278699114874201	0.166666058385706	0.625326273764091	24	TP53 CCNE1 CDC20 HDAC1 CDK7 ANAPC11 YWHAH CCNB2 SKP2 BUB3 MYC PKMYT1 ORC5 E2F5
WP_CHEMOKINE_SIGNALING_PATHWAY	0.2997542997543	0.559243096556529	0.080419996876154	0.304807013346761	1.14362717711957	24	CCL5 PLCB4 PIK3R5 CCL1
WP_CHOLESTEROL_METABOLISM	0.16504854368932	0.5175983436853	0.124434168630393	0.451867607930806	1.32651797096532	10	SORT1 DGAT1 NPC1 STARD3
WP_CHROMOSOMAL_AND_MICROSATELLITE_INSTABILITY_IN_COLORECTAL_CANCER	0.227758007117438	0.559243096556529	0.175204047558551	-0.332919289788877	-1.22492105128159	10	JUN CTNNB1 BRAF DDB2 FOS
WP_CILIARY_LANDSCAPE	0.643281807372176	0.782534882487135	0.042077210988939	0.224720035244661	0.877534991977228	27	DVL3 NUDC ECHS1 DYNLL1 EXOSC7 EXOC6
WP_CILIOPATHIES	0.286773794808405	0.559243096556529	0.083129129135339	0.336290168691045	1.19166130041067	19	CEP104 POMGNT1 ARL3 KIAA0753 IFT172 LZTFL1 OCRL NEK9 DNAL1 TMEM216 SPATA7 TMEM107 TMEM138
WP_CIRCADIAN_RHYTHM_GENES	0.00712164305873693	0.118950643174654	0.407017918923954	-0.366706946751378	-1.89720261027553	23	JUN PPP1CB PER1 JUND NCOR1 PHLPP1 CSNK1E SIRT1 EZH2 ARNT HNRNPD
WP_CKAP4_SIGNALING_PATHWAY_MAP	0.28921568627451	0.559243096556529	0.183023938384487	-0.23780043864273	-1.11332872927217	18	CD44 JUN CTNNB1
WP_COMPLEMENT_SYSTEM_IN_NEURONAL_DEVELOPMENT_AND_PLASTICITY	0.307377049180328	0.565031340405015	0.0847985102819124	0.373107960475775	1.13313883321223	11	ATP10A SCRIB APAF1 DEDD CASP7 ITGB2 PLSCR3
WP_CORTICOTROPIN_RELEASING_HORMONE_SIGNALING_PATHWAY	0.00528412808103218	0.118950643174654	0.407017918923954	-0.424916408555555	-1.98936405619836	18	PLCG2 JUND CTNNB1 FOSB GNB1 JUNB BRAF GNB5 FOS GRK6
WP_CYTOSOLIC_DNA_SENSING_PATHWAY	0.106469002695418	0.443696450428397	0.156312403073186	0.460140389551465	1.43606314379385	12	CCL5 ISG15 POLR3A POLR2H
WP_DNA_IR_DAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR	0.990932642487047	0.990932642487047	0.0253415500976615	0.132754097709093	0.433667016102492	14	TP53 MLH1 EEF1E1 PARP1 SEM1 BRCC3
WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK	0.794808405438813	0.856474574826308	0.0340463727579649	0.197287823372798	0.699099426756093	19	GTF2H2C XRCC4 CETN2 CDK7 MLH1 ERCC6 POLL PARP1
WP_EBOLA_VIRUS_INFECTION_IN_HOST	0.393530997304582	0.638849021598348	0.0711327399327894	0.336060543419224	1.04881938522744	12	HLA-DPA1 ITGA4 NPC1 EIF2S1 HLA-DRA ITGA5 GSN
WP_ECTODERM_DIFFERENTIATION	0.0436357289693044	0.339768608865347	0.321775918075361	-0.340802961317244	-1.59556361637148	18	CTNNB1 RHPN1 PI4KA MECP2 NUMA1 HDAC10 WDR44 ARHGAP10 TRIM33 TSC22D1
WP_EGFR_TYROSINE_KINASE_INHIBITOR_RESISTANCE	0.907473309608541	0.922228973179412	0.0780892306943345	-0.170891847295696	-0.628768075822952	10	PLCG2 BRAF JAK2 JAK1
WP_EGF_EGFR_SIGNALING_PATHWAY	0.514742014742015	0.710598924884639	0.05378728077603	0.260496358426802	0.977374869976028	24	NEDD8 ELK1 MEF2C MT-CO2 AP2M1
WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	0.0041360062437549	0.118950643174654	0.407017918923954	0.450271810409946	1.91314689163544	36	NDUFS2 ATP5F1E MT-CO3 MT-CO2 COX7B NDUFA2 MT-CYB MT-ND4 ATP5PD MT-CO1 MT-ND1 NDUFA3 COX7A2 ATP5PO NDUFS7 SDHC COX7C NDUFA13 NDUFB2 NDUFA6 MT-ND2 NDUFB1
WP_EMBRYONIC_STEM_CELL_PLURIPOTENCY_PATHWAYS	0.173076923076923	0.5175983436853	0.211400189384923	-0.318591513021591	-1.25718074996096	12	JUN CTNNB1 BRAF PTPN11 FOS MAPK6 JAK1
WP_ENDOPLASMIC_RETICULUM_STRESS_RESPONSE_IN_CORONAVIRUS_INFECTION	0.166666666666667	0.5175983436853	0.211400189384923	-0.334374122301271	-1.30086473856923	11	PPP1CB HSPA5 PPP1R15A EIF2AK3
WP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_IN_COLORECTAL_CANCER	0.794041450777202	0.856474574826308	0.0363018462359236	0.216995263762524	0.708857128843423	14	TP53 ID2 SHC1 JAG1 ITGA5
WP_ERBB_SIGNALING_PATHWAY	0.140740740740741	0.511557408109132	0.231126709673834	-0.345158385286222	-1.34282034013322	11	AREG JUN PLCG2
WP_EUKARYOTIC_TRANSCRIPTION_INITIATION	0.105191256830601	0.443696450428397	0.158514105424824	0.476197240246037	1.44622372704994	11	TBP GTF2H2C POLR2H TAF12 CDK7 POLR1D
WP_EXTRAFOLLICULAR_AND_FOLLICULAR_B_CELL_ACTIVATION_BY_SARS_COV_2	0.0727762803234501	0.433192144782441	0.191892240384838	0.488425747863533	1.52433959485819	12	TNFSF13 IFITM1 HSPA8 ISG15
WP_FERROPTOSIS	0.242718446601942	0.559243096556529	0.0992333343771191	0.412970324335324	1.21232977777435	10	ACSL5 TP53 STEAP3 SLC1A5
WP_FOCAL_ADHESION	0.136073058338695	0.511557408109132	0.249246554383295	-0.247782476366901	-1.34068621950746	26	ROCK1 JUN PPP1CB CTNNB1 ARHGAP5 ARHGAP35 BRAF
WP_FOCAL_ADHESION_PI3K_AKT_MTOR_SIGNALING_PATHWAY	0.424452133794694	0.647030691760205	0.0598603117764473	0.257080802187107	1.04139798165972	31	PIK3R5 ITGB7 GYS1 BAD ITGA4 GNB2 IL2RA SLC2A1 F2R ITGA2B ITGB2 ITGA5 HSP90AB1 GNG2 GNG10 CDC37
WP_FOLATE_METABOLISM	0.314814814814815	0.570316693505099	0.150169802128406	-0.288953425735307	-1.12415793435465	11	HBB MPO
WP_FRAGILE_X_SYNDROME	0.267924528301887	0.559243096556529	0.0878312634480124	0.348570483463188	1.20136559483949	17	DUSP3 AP2M1 SLC16A1 CYFIP2 SHC1 ALDH3A2
WP_GASTRIN_SIGNALING_PATHWAY	0.0605554239688833	0.378471399805521	0.321775918075361	-0.294500918750722	-1.51027122409279	22	ROCK1 CD44 JUN CTNNB1 YES1
WP_GENES_RELATED_TO_PRIMARY_CILIUM_DEVELOPMENT_BASED_ON_CRISPR	0.0564102564102564	0.371120107962213	0.213927855492356	0.473960850525938	1.57878325346192	15	DYNLL1 CIBAR1 CEP104 ARL3 KATNB1 KIAA0753 IFT172 LZTFL1 KIF3A TMEM216 TMEM107 CBY1 ARMC9 TUBD1
WP_GLUCOCORTICOID_RECEPTOR_PATHWAY	0.868852459016394	0.905054644808743	0.034566432206351	0.213654376422779	0.648874043056265	11	SLC26A2 PTGES3 FGD4 STOM LRRC8A CDC42EP3
WP_G_PROTEIN_SIGNALING_PATHWAYS	0.37431693989071	0.63768115942029	0.0743625384422526	0.354800783406294	1.07753944788293	11	PDE4D AKAP11 PRKAR1B GNB2 PRKCA PRKAR2B GNG10
WP_HAIR_FOLLICLE_DEVELOPMENT_CYTODIFFERENTIATION_PART_3_OF_3	0.0043336795882557	0.118950643174654	0.407017918923954	-0.544568255320399	-2.11861383355557	11	JUN CTNNB1 FOSB CUX1 GTPBP4 FOS RBPJ
WP_HEPATITIS_B_INFECTION	0.767790262172285	0.849325511252527	0.0361491929398957	0.206794298810099	0.739179041990763	20	STAT6 ELK1 BAD
WP_HIPPO_MERLIN_SIGNALING_DYSREGULATION	0.634615384615385	0.782534882487135	0.0461379160269737	0.254058760097015	0.846280268489213	15	PLCB4 ITGB7 ITGA4 PRKAR1B ITGA2B ITGB2 ITGA5 PRKAR2B
WP_HISTONE_MODIFICATIONS	0.826612903225806	0.881420529376799	0.0899860794997137	-0.175582643122542	-0.721833744745036	13	KMT2E KMT2C
WP_IL6_SIGNALING_PATHWAY	0.839112343966713	0.881420529376799	0.0369160593316849	0.231267430505347	0.678916561576798	10	BAD SHC1 HDAC1
WP_IL_24_SIGNALING_PATHWAY	0.247524752475248	0.559243096556529	0.0847985102819124	0.268566038542351	1.19642428654241	46	HSPE1 EIF5A TP53 GPX1 BSG MT-CO2 CCNE1 S100A6 NAA10 BAD
WP_IL_3_SIGNALING_PATHWAY	0.0874235586063844	0.443196004993758	0.287805130535564	-0.38513998629801	-1.49836663238163	11	JUN GAB2 PTPN11 IL3RA FOS JAK2 JAK1
WP_IL_4_SIGNALING_PATHWAY	0.153638814016173	0.5175983436853	0.127505315300183	0.431238573825006	1.34586277604534	12	STAT6 ELK1 BAD SHC1
WP_INSULIN_SIGNALING	0.539779681762546	0.725510324949658	0.0514264916187015	0.254138804175576	0.946032850449851	23	ELK1 GYS1 FLOT1 SHC1 SNAP23 SLC2A1 RPS6KA4 PRKCA RAB4A GRB10 KIF3A RAC2 MAP3K11 MAP2K2
WP_INTEGRIN_MEDIATED_CELL_ADHESION	0.672955974842767	0.797818237298479	0.0425877779273254	0.233530364954795	0.804874076024938	17	ITGB7 CAPNS1 ITGA4 SHC1 ITGA2B ITGB2 ITGA5
WP_JOUBERT_SYNDROME	0.19811320754717	0.559243096556529	0.110122263835536	0.406345100038121	1.26817213849624	12	DVL3 CEP104 ARL3 CETN2
WP_LEPTIN_SIGNALING_PATHWAY	0.448787061994609	0.66783788987293	0.0646484568421928	0.322524808901663	1.00657538772964	12	ELK1 SOCS2 BAD SHC1
WP_MALE_INFERTILITY	0.57277628032345	0.745802448337826	0.0531298054705469	0.285702923827905	0.891657086184799	12	GPX1 XRCC4 MLH1 HLA-DRA PARP1 PMS2 XRCC3
WP_MAPK_SIGNALING_PATHWAY	0.455069124423963	0.669219300623475	0.0565299525056311	0.247974487147787	1.02516029715768	33	DUSP3 HSPA8 ELK1 TP53 MEF2C
WP_MEASLES_VIRUS_INFECTION	0.106487148102815	0.443696450428397	0.148261500475107	0.375646131251769	1.39834442623353	23	HSPA8 MX1 TP53 CCNE1 BAD OAS3 IL2RA APAF1 EIF2S1 HSPA1B
WP_MELANOMA	0.220527045769764	0.559243096556529	0.105125131597001	0.424280357243029	1.24553189636166	10	ELK1 TP53 BAD LAMTOR3 CALM2 CALML4
WP_METABOLIC_EPILEPTIC_DISORDERS	0.241239892183288	0.559243096556529	0.0978773277424561	0.391572326760753	1.22206743715513	12	ECHS1 SQOR SPCS1 SLC2A1 PKM SLC1A5 MDH2 TPI1
WP_METABOLIC_REPROGRAMMING_IN_COLON_CANCER	0.143236074270557	0.511557408109132	0.131457611642763	0.435413954910698	1.38799603284489	13	SUCLG2 G6PD SLC2A1 PKM SLC1A5 IDH2 MDH2 GART
WP_METAPATHWAY_BIOTRANSFORMATION_PHASE_I_AND_II	0.707547169811321	0.804030874785592	0.0434506826723125	0.254302352545912	0.7936582924773	12	GSTK1 NAA80 AKR1B1
WP_MITOCHONDRIAL_COMPLEX_IV_ASSEMBLY	0.0564102564102564	0.371120107962213	0.213927855492356	0.472992214952016	1.57555668818523	15	MT-CO3 MT-CO2 COX7B COX10 COX14 MT-CO1 COX7A2 COX7C
WP_MITOCHONDRIAL_COMPLEX_I_ASSEMBLY_MODEL_OXPHOS_SYSTEM	0.0321384425216316	0.30902348578492	0.282013350011725	0.473257445401773	1.67701180504813	19	NDUFS2 TMEM126B DMAC1 NDUFA2 MT-ND4 MT-ND1 NDUFA3 NDUFA13 NDUFB2 NDUFA6 MT-ND2 NDUFB1
