pathway	pval	padj	log2err	ES	NES	size	leadingEdge
WP_10Q11_21Q11_23_COPY_NUMBER_VARIATION_SYNDROME	0.642732049036778	0.726781624680049	0.059989249649033	0.297512954449014	0.837216833863724	11	TMEM273 PCNA BCL2 ERCC5
WP_16P11_2_PROXIMAL_DELETION_SYNDROME	0.254937163375224	0.435764686234395	0.112378519110475	0.417890046926207	1.21137067374368	12	CCT5 CCT3 PCNA CCT7 SPN KIF22
WP_22Q11_2_COPY_NUMBER_VARIATION_SYNDROME	0.0627240143369176	0.224888539207973	0.241339976815091	0.487024336144219	1.5188047308958	15	RAN XPO1 CBX5 ZDHHC8 BCL2 DROSHA CDC45
WP_2Q37_COPY_NUMBER_VARIATION_SYNDROME	0.0235431771138023	0.115361567857631	0.352487857583619	-0.591435384405023	-1.74964342659892	14	JUN RAB27A NFKBIA MAP1LC3B MYO5A
WP_5Q35_COPY_NUMBER_VARIATION	0.461121157323689	0.610673965104345	0.0780892306943345	0.313538950606365	1.01130667065917	17	MT-CO3 MT-CO2 BRCA1 MT-CO1
WP_7Q11_23_COPY_NUMBER_VARIATION_SYNDROME	0.157706093189964	0.317572543820887	0.147331213699377	0.43374263808199	1.35264363979354	15	HMGA1 CFL1 ATP5MC1 MT-ATP8 MT-ATP6 PCNA
WP_ACUTE_VIRAL_MYOCARDITIS	0.633928571428571	0.722383720930233	0.0725351864394589	-0.286930729086533	-0.848827238398192	14	NFKB2 CD55 TICAM1
WP_ADIPOGENESIS	0.229910714285714	0.407191265060241	0.135002033828631	-0.428292084580193	-1.26701656716723	14	CFD KLF6 DDIT3 SP1
WP_AGE_RAGE_PATHWAY	0.366071428571429	0.543560606060606	0.103197466945307	-0.367016089270615	-1.08574377688675	14	JUN NFKBIA NFKB1 SP1 DIAPH1
WP_ALZHEIMER_39_S_DISEASE	0.0472727272727273	0.193030303030303	0.282013350011725	0.426896828801924	1.61148766109542	31	PLCB4 PSMB5 EIF2S1 CALM1 PSMD4 HSD17B10
WP_ALZHEIMER_39_S_DISEASE_AND_MIRNA_EFFECTS	0.0472727272727273	0.193030303030303	0.282013350011725	0.426896828801924	1.61148766109542	31	PLCB4 PSMB5 EIF2S1 CALM1 PSMD4 HSD17B10
WP_AMINO_ACID_METABOLISM	0.175090252707581	0.338661409842295	0.139599673451922	0.429554436168707	1.30927923040171	14	BCAT1 SDHA MDH1 ACADM CS SRM LDHA FARSB MDH2
WP_AMP_ACTIVATED_PROTEIN_KINASE_SIGNALING	0.263038548752834	0.439393939393939	0.126253987849115	-0.440733627177326	-1.19950824962844	10	CCNA1 EEF2
WP_ANDROGEN_RECEPTOR_NETWORK_IN_PROSTATE_CANCER	0.596529284164859	0.695950831525669	0.0741758965588009	-0.252009932298421	-0.881791769486108	27	JUN FOS RAPGEF1 SP1 PXN
WP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY	0.592760180995475	0.695950831525669	0.0766746872490091	-0.288070318118834	-0.88229284802988	16	JUN SP1 RHOB RAC1 KAT5 CTNNB1 DSTN SIRT1
WP_ANGIOPOIETIN_LIKE_PROTEIN_8_REGULATORY_PATHWAY	0.795008912655972	0.825748022469334	0.0509082865515105	0.255462904484188	0.69538382774819	10	MLST8 EIF4EBP1 RPS6KA4 CBLB MAP4K1
WP_APOPTOSIS	0.0275859782713532	0.126723087684029	0.352487857583619	-0.5539373324185	-1.69658210481783	16	JUN MCL1 NFKBIA NFKB1 PMAIP1
WP_APOPTOSIS_MODULATION_AND_SIGNALING	0.0986842105263158	0.254355263675331	0.211400189384923	-0.484349257962288	-1.52432529656771	18	JUN MCL1 NFKBIA FOS NFKB1 PMAIP1
WP_ATM_SIGNALING_PATHWAY	0.346067415730337	0.529915730337079	0.107140237276725	-0.389213964023843	-1.09647270145122	12	JUN NFKBIA
WP_A_NETWORK_MAP_OF_MACROPHAGE_STIMULATING_PROTEIN_MSP_SIGNALING	0.0798226164079823	0.245568445475638	0.237793834423688	-0.549480418919046	-1.57812686950858	13	JUN CXCL8 NFKB1
WP_BRAIN_DERIVED_NEUROTROPHIC_FACTOR_BDNF_SIGNALING_PATHWAY	0.244972577696527	0.428702010968921	0.116234148779716	0.358661711242858	1.19975578607852	20	SORT1 DPYSL2 CFL1 EIF2S1
WP_BREAST_CANCER_PATHWAY	0.220720720720721	0.405574324324324	0.13880510939114	-0.422855414262311	-1.27177160189698	15	JUN NFKB2 FOS SP1 TCF7L2
WP_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.0195359018916824	0.110452983772205	0.352487857583619	-0.605125106386594	-1.79014173412092	14	JUN GAB2 NFKBIA NFKB1 RAPGEF1 RASGRP3
