pathway	pval	padj	log2err	ES	NES	size	leadingEdge
WP_10Q11_21Q11_23_COPY_NUMBER_VARIATION_SYNDROME	0.647482014388489	0.732152739346984	0.0609039347452418	0.297512954449014	0.839052412582641	11	TMEM273 PCNA BCL2 ERCC5
WP_16P11_2_PROXIMAL_DELETION_SYNDROME	0.255434782608696	0.447010869565217	0.112843355675562	0.417890046926207	1.19630409285193	12	CCT5 CCT3 PCNA CCT7 SPN KIF22
WP_22Q11_2_COPY_NUMBER_VARIATION_SYNDROME	0.0958408679927667	0.273163353500432	0.193813302725311	0.487024336144219	1.47308957213481	15	RAN XPO1 CBX5 ZDHHC8 BCL2 DROSHA CDC45
WP_2Q37_COPY_NUMBER_VARIATION_SYNDROME	0.0318420625280937	0.156026106387659	0.321775918075361	-0.591435384405023	-1.722339912245	14	JUN RAB27A NFKBIA MAP1LC3B MYO5A
WP_5Q35_COPY_NUMBER_VARIATION	0.475319926873857	0.629477740995108	0.0770736734944102	0.313538950606365	0.987902394284098	17	MT-CO3 MT-CO2 BRCA1 MT-CO1
WP_7Q11_23_COPY_NUMBER_VARIATION_SYNDROME	0.173598553345389	0.349575169065372	0.140406238523342	0.43374263808199	1.31192983539044	15	HMGA1 CFL1 ATP5MC1 MT-ATP8 MT-ATP6 PCNA
WP_ACUTE_VIRAL_MYOCARDITIS	0.628378378378378	0.724791666666667	0.0734381410838857	-0.286930729086533	-0.835581129885296	14	NFKB2 CD55 TICAM1
WP_ADIPOGENESIS	0.225225225225225	0.413851351351351	0.137250779610133	-0.428292084580193	-1.24724453561932	14	CFD KLF6 DDIT3 SP1
WP_AGE_RAGE_PATHWAY	0.38963963963964	0.563487016428193	0.0999276973731092	-0.367016089270615	-1.06880054128443	14	JUN NFKBIA NFKB1 SP1 DIAPH1
WP_ALZHEIMER_39_S_DISEASE	0.0552584670231729	0.215871710526316	0.257206466468838	0.426896828801924	1.55660673303156	31	PLCB4 PSMB5 EIF2S1 CALM1 PSMD4 HSD17B10
WP_ALZHEIMER_39_S_DISEASE_AND_MIRNA_EFFECTS	0.0552584670231729	0.215871710526316	0.257206466468838	0.426896828801924	1.55660673303156	31	PLCB4 PSMB5 EIF2S1 CALM1 PSMD4 HSD17B10
WP_AMINO_ACID_METABOLISM	0.191756272401434	0.374250499666889	0.132147260608774	0.429554436168707	1.29403912749565	14	BCAT1 SDHA MDH1 ACADM CS SRM LDHA FARSB MDH2
WP_AMP_ACTIVATED_PROTEIN_KINASE_SIGNALING	0.278260869565217	0.470164917541229	0.119348440591015	-0.440733627177326	-1.19240516696799	10	CCNA1 EEF2
WP_ANDROGEN_RECEPTOR_NETWORK_IN_PROSTATE_CANCER	0.586129753914989	0.700496535166694	0.0766746872490091	-0.252009932298421	-0.899819586707378	27	JUN FOS RAPGEF1 SP1 PXN
WP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY	0.612975391498882	0.715137956748695	0.0743625384422526	-0.288070318118834	-0.87611661287754	16	JUN SP1 RHOB RAC1 KAT5 CTNNB1 DSTN SIRT1
WP_ANGIOPOIETIN_LIKE_PROTEIN_8_REGULATORY_PATHWAY	0.811808118081181	0.840392910971363	0.051530912208539	0.255462904484188	0.691392628727269	10	MLST8 EIF4EBP1 RPS6KA4 CBLB MAP4K1
WP_APOPTOSIS	0.042043298197772	0.187283782880984	0.321775918075361	-0.5539373324185	-1.68470567392756	16	JUN MCL1 NFKBIA NFKB1 PMAIP1
WP_APOPTOSIS_MODULATION_AND_SIGNALING	0.0952380952380952	0.273163353500432	0.219250346703755	-0.484349257962288	-1.516035770287	18	JUN MCL1 NFKBIA FOS NFKB1 PMAIP1
WP_ATM_SIGNALING_PATHWAY	0.368888888888889	0.560869565217391	0.102449405629826	-0.389213964023843	-1.09251502126405	12	JUN NFKBIA
WP_A_NETWORK_MAP_OF_MACROPHAGE_STIMULATING_PROTEIN_MSP_SIGNALING	0.0822222222222222	0.268592592592593	0.234392647294686	-0.549480418919046	-1.5724403416944	13	JUN CXCL8 NFKB1
WP_BRAIN_DERIVED_NEUROTROPHIC_FACTOR_BDNF_SIGNALING_PATHWAY	0.292418772563177	0.477617328519856	0.103958471559957	0.358661711242858	1.18035106137987	20	SORT1 DPYSL2 CFL1 EIF2S1
WP_BREAST_CANCER_PATHWAY	0.229398663697105	0.416316093376227	0.135002033828631	-0.422855414262311	-1.2608432259259	15	JUN NFKB2 FOS SP1 TCF7L2
WP_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.0261139201164125	0.142175787300468	0.352487857583619	-0.605125106386594	-1.76220623607024	14	JUN GAB2 NFKBIA NFKB1 RAPGEF1 RASGRP3
WP_CALCIUM_REGULATION_IN_CARDIAC_CELLS	0.562386980108499	0.68542734595669	0.0679922591544058	0.301744772582276	0.9126793980281	15	PRKCA CALM1 ANXA6 YWHAB CALM2 STIM2 GNAQ FKBP1A
WP_CELL_CYCLE	0.0411725661156851	0.187283782880984	0.321775918075361	0.474699065973656	1.71390482508297	29	MCM5 MCM7 CDC6 HDAC1 CDK2 ORC6 RBL1 CCNE1 CHEK1 ANAPC5 PCNA YWHAB MCM4 CDC45 SMAD2 MCM2 PKMYT1 PTTG1 CCNB2
WP_CHEMOKINE_SIGNALING_PATHWAY	0.0305092254917647	0.156026106387659	0.352487857583619	0.54601983396142	1.72040603010854	17	PLCB4 HCK
