pathway,pval,padj,log2err,ES,NES,size,leadingEdge
WP_10Q11_21Q11_23_COPY_NUMBER_VARIATION_SYNDROME,0.39429928741092635,0.5504096175287218,0.10244940562982624,-0.39380179854091313,-1.0650116190121228,15,
WP_11P11_2_COPY_NUMBER_VARIATION_SYNDROME,0.04355400696864112,0.1366556915896813,0.2878571172551493,0.5977677291001844,1.6160094532020575,17,
WP_15Q11Q13_COPY_NUMBER_VARIATION,0.5490533562822719,0.6549000087840015,0.06674261342419166,0.3378639790792809,0.903306522440738,15,
WP_15Q25_COPY_NUMBER_VARIATION,0.31116389548693585,0.4815296482196021,0.11776578836269024,-0.4107693845286627,-1.1546915238774673,18,
WP_16P11_2_DISTAL_DELETION_SYNDROME,0.5319634703196348,0.6451471874089187,0.08289621345715653,-0.34668051587263193,-0.9221946321475857,13,
WP_16P11_2_PROXIMAL_DELETION_SYNDROME,0.26436781609195403,0.4185823754789272,0.12687572992985735,-0.3642110689563135,-1.1790201547730113,29,
WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME,0.20774647887323944,0.38613747703612983,0.12503336755527242,0.4523094006598749,1.2768194722990436,20,
WP_1P36_COPY_NUMBER_VARIATION_SYNDROME,0.31336405529953915,0.4827500311371279,0.11524000314778066,-0.3340355133801555,-1.1044552842913784,31,
WP_22Q11_2_COPY_NUMBER_VARIATION_SYNDROME,0.6352530541012217,0.7146596858638744,0.06037863579204014,0.2748186338616382,0.86951196047162,32,
WP_2Q11_2_COPY_NUMBER_VARIATION_SYNDROME,0.7882562277580071,0.8244147703157138,0.051218434854034045,0.2846727181301759,0.6944359008990779,10,
WP_2Q13_COPY_NUMBER_VARIATION_SYNDROME,0.47735191637630664,0.608540925266904,0.07436253844225256,0.34883689823524927,0.9715274742865198,19,
WP_2Q37_COPY_NUMBER_VARIATION_SYNDROME,0.001948485333055584,0.016637619974736766,0.45505986738722953,-0.5592823962294253,-1.9181998219809628,38,
WP_3Q29_COPY_NUMBER_VARIATION_SYNDROME,0.020798338106864718,0.08674428820180163,0.35248785758361917,-0.6144876906650186,-1.723420428718085,17,
WP_4P16_3_COPY_NUMBER_VARIATION,0.9474885844748858,0.9558734392047521,0.05423159354958409,-0.18731575152614163,-0.49827311505894617,13,
WP_5Q35_COPY_NUMBER_VARIATION,0.07679465776293823,0.20359513918546412,0.2089550275493539,0.4364079669010837,1.4751232700204961,45,
WP_7Q11_23_COPY_NUMBER_VARIATION_SYNDROME,0.5495798319327732,0.6549000087840015,0.06553210292824141,0.2907387916443228,0.9381785976986345,38,
WP_7_OXO_C_AND_7_BETA_HC_PATHWAYS,0.5,0.6151079136690647,0.07307443991269867,0.39090789701459233,0.9535879638025524,10,
WP_8P23_1_COPY_NUMBER_VARIATION_SYNDROME,0.2009132420091324,0.38602431891642297,0.1473312136993771,-0.49221912923252203,-1.3093376121124685,13,
WP_8Q11_23_RB1CC1_COPY_NUMBER_VARIATION,0.007280773567364217,0.04016168645223488,0.40701791892395395,-0.7340714213140724,-1.8386067281265805,10,
WP_ACUTE_VIRAL_MYOCARDITIS,0.3876500857632933,0.5455816021853758,0.08455574424412811,0.32959078342632725,1.0519475277681538,34,
WP_ADIPOGENESIS,0.03991854555520875,0.12759011756898497,0.3217759180753611,-0.4304621821071695,-1.5311141727567086,45,
WP_AGE_RAGE_PATHWAY,0.0020198920989917143,0.016637619974736766,0.4317076958033464,-0.6448123410380676,-1.989227368463895,24,
WP_ALLOGRAFT_REJECTION,0.22535211267605634,0.40011583458820804,0.11934844059101546,0.4460176114047393,1.2590584462738517,20,
WP_ALPHA_6_BETA_4_SIGNALING_PATHWAY,0.34532374100719426,0.5004053386060306,0.09374654224917187,0.44112141233934976,1.1018515775027684,12,
WP_ALSTROM_SYNDROME,0.8687943262411347,0.8869482375357257,0.04660150729859922,0.2509582702556004,0.6411047125404506,13,
WP_ALZHEIMER_39_S_DISEASE,0.10485426600113075,0.2374844965058723,0.2878051305355643,-0.33055374579445246,-1.3332393716864417,90,
WP_ALZHEIMER_39_S_DISEASE_AND_MIRNA_EFFECTS,0.10485426600113075,0.2374844965058723,0.2878051305355643,-0.33055374579445246,-1.3332393716864417,90,
WP_AMINO_ACID_METABOLISM,0.20210896309314588,0.38613747703612983,0.12687572992985735,0.4142331072556862,1.2639173741279457,27,
WP_AMP_ACTIVATED_PROTEIN_KINASE_SIGNALING,0.15201900237529692,0.31896011541319963,0.17520404755855126,-0.5081833870091957,-1.3743492634087062,15,
WP_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,0.6006884681583476,0.6893807252018621,0.06238614928936257,0.32175532479810115,0.8602387396022539,15,
WP_ANDROGEN_RECEPTOR_NETWORK_IN_PROSTATE_CANCER,0.0067703598076623425,0.03924513651221222,0.40701791892395395,-0.5345074737925428,-1.8031872847117427,36,
WP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,0.011766867685066282,0.05748955354703812,0.3807304007227924,-0.5321591651529234,-1.77721585858769,33,
WP_ANGIOPOIETIN_LIKE_PROTEIN_8_REGULATORY_PATHWAY,0.022239050199483062,0.0892431958876286,0.35248785758361917,-0.484285653768329,-1.6609796072774516,38,
WP_ANGIOTENSIN_II_RECEPTOR_TYPE_1_PATHWAY,0.09545454545454546,0.22359900373599004,0.21925034670375515,-0.5987631748896236,-1.4997042112547774,10,
WP_ANTIVIRAL_AND_ANTI_INFLAMMATORY_EFFECTS_OF_NRF2_ON_SARS_COV_2_PATHWAY,0.02907141961252085,0.10465711060507507,0.35248785758361917,-0.6747713626049328,-1.6900796451272857,10,
WP_APOPTOSIS,6.268128331344881e-4,0.007145666297733165,0.47727081536286214,-0.648832101230104,-2.057927932378491,27,
WP_APOPTOSIS_MODULATION_AND_SIGNALING,0.0010786551522252374,0.010850001825324446,0.45505986738722953,-0.6573100783833905,-2.0553363249857584,26,
WP_APOPTOSIS_RELATED_NETWORK_DUE_TO_ALTERED_NOTCH3_IN_OVARIAN_CANCER,4.5034474132159096e-4,0.006431421569825104,0.49849310876659025,-0.7037978430487168,-2.131773458544166,22,
WP_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY,0.4823529411764706,0.6092799188640973,0.08998607949971373,-0.3579329702574501,-0.9809343129540494,16,
WP_ARYL_HYDROCARBON_RECEPTOR_PATHWAY_WP2586,0.23515981735159816,0.401865831078194,0.13500203382863138,-0.3901522220005434,-1.203608287988185,24,
WP_ARYL_HYDROCARBON_RECEPTOR_PATHWAY_WP2873,0.0027338632916566316,0.021249573766967456,0.4317076958033464,-0.7037607778029356,-1.9737998332944544,17,
WP_ATM_SIGNALING_PATHWAY,0.058823529411764705,0.1648987463837994,0.2878571172551493,-0.6208845016127523,-1.6566880474078838,14,
WP_AUTOPHAGY_IN_PANCREATIC_DUCTAL_ADENOCARCINOMA,0.0867579908675799,0.21666138739309473,0.23112670967383428,-0.5844671362196506,-1.5547238192251212,13,
WP_A_NETWORK_MAP_OF_MACROPHAGE_STIMULATING_PROTEIN_MSP_SIGNALING,0.02154493788085709,0.08877552717172438,0.35248785758361917,-0.5236742421012938,-1.7314769261609197,31,
WP_BARDET_BIEDL_SYNDROME,0.34488734835355284,0.5004053386060306,0.0916795246008379,0.41073724412874857,1.1061405650184548,16,
WP_BASE_EXCISION_REPAIR,0.22597864768683273,0.40011583458820804,0.11988784511542344,0.5245265358645022,1.2795397461023041,10,
WP_BDNF_TRKB_SIGNALING,0.056818181818181816,0.16059353869271223,0.2878571172551493,-0.6695656533551405,-1.6770410609058688,10,
WP_BLADDER_CANCER,0.498812351543943,0.6151079136690647,0.0886261133285098,-0.34312744927838124,-0.9645469507082894,18,
WP_BRAIN_DERIVED_NEUROTROPHIC_FACTOR_BDNF_SIGNALING_PATHWAY,0.1018363939899833,0.23374528016492813,0.1797823162983236,0.41433160125953056,1.400501899318716,45,
WP_BREAST_CANCER_PATHWAY,0.0048683004132714985,0.03200148241185623,0.40701791892395395,-0.5371405263480001,-1.8422587032344815,38,
WP_BURN_WOUND_HEALING,0.2383177570093458,0.401865831078194,0.13574094381042484,-0.4274747889701951,-1.222026281205435,19,
WP_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.0012323953645426888,0.011574137250900502,0.45505986738722953,-0.5632877368681696,-1.9528863902213016,41,
WP_CALCIUM_REGULATION_IN_CARDIAC_CELLS,0.343980343980344,0.5004053386060306,0.11331290842208036,-0.31872007444644873,-1.0829529056772482,37,
WP_CAMKK2_PATHWAY,0.41002277904328016,0.5565262076053443,0.09754492162471996,-0.39619091613542734,-1.0193297234413294,11,
WP_CANNABINOID_RECEPTOR_SIGNALING,0.9522727272727273,0.9578743315508021,0.053787280776029955,-0.19404779253590082,-0.4860257007362378,10,
WP_CARDIAC_HYPERTROPHIC_RESPONSE,0.5714285714285714,0.6715758468335787,0.07955646772359566,-0.3072362395188909,-0.8915618821704411,20,
WP_CELL_CYCLE,0.9414634146341463,0.9526049935055564,0.057609110864425044,-0.17339868760591026,-0.6263524034028537,49,
WP_CELL_LINEAGE_MAP_FOR_NEURONAL_DIFFERENTIATION,0.25934579439252337,0.41545862420836105,0.12944288774504625,-0.436236227152019,-1.2234881789203134,17,
WP_CHEMOKINE_SIGNALING_PATHWAY,0.1905940594059406,0.3716223292836196,0.15851410542482433,-0.34913262230072206,-1.26690507411259,50,
WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES,0.6470588235294118,0.7255544840887175,0.07417589655880091,-0.30119056057377713,-0.8036580078880298,14,
WP_CHOLESTEROL_METABOLISM,0.08812949640287769,0.21666138739309473,0.20207170902115992,0.5159783441660772,1.4892093475412274,22,
WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCH_RUSSELL_PATHWAYS,0.5458823529411765,0.6549000087840015,0.083129129135339,-0.33186233592373665,-0.9094863550863427,16,
WP_CHROMOSOMAL_AND_MICROSATELLITE_INSTABILITY_IN_COLORECTAL_CANCER,0.002043216488125568,0.016637619974736766,0.4317076958033464,-0.617743035337582,-1.9593214408524395,27,
WP_CHRONIC_HYPERGLYCEMIA_IMPAIRMENT_OF_NEURON_FUNCTION,0.25359712230215825,0.41384873949579826,0.11284335567556247,0.4910630791174252,1.22659796882101,12,
WP_CILIARY_LANDSCAPE,0.2140921409214092,0.39306759098786825,0.1563124030731863,-0.30495201156816953,-1.1989156925212192,81,
WP_CILIOPATHIES,0.16295025728987994,0.33775144238266025,0.14122511964253093,0.40741762714682567,1.3003457232355247,34,
WP_CIRCADIAN_RHYTHM_GENES,3.2127448656880513e-4,0.005782940758238492,0.49849310876659025,-0.5154980590079482,-1.99808919759115,72,
WP_CKAP4_SIGNALING_PATHWAY_MAP,0.06388206388206388,0.1746817538896747,0.28201335001172506,-0.44221604826172695,-1.5025697870894918,37,
WP_CLEAR_CELL_RENAL_CELL_CARCINOMA_PATHWAYS,0.3469750889679715,0.5004053386060306,0.09284812141598782,0.3792620281261868,1.106185608133923,23,
WP_CLOCK_CONTROLLED_AUTOPHAGY_IN_BONE_METABOLISM,0.2062780269058296,0.38613747703612983,0.14375898903927542,-0.4210439985404823,-1.275324199744356,22,
WP_COMMON_PATHWAYS_UNDERLYING_DRUG_ADDICTION,0.3292894280762565,0.49681841432225066,0.0943563635421779,0.4251466211041342,1.1449459001005613,16,
WP_COMPLEMENT_AND_COAGULATION_CASCADES,0.454337899543379,0.5841487279843445,0.0916795246008379,-0.3804813522112668,-1.0121072416149146,13,
WP_COMPLEMENT_SYSTEM,0.25996533795493937,0.41545862420836105,0.10882012676916121,0.3963934619046436,1.2006852021072334,26,
WP_COMPLEMENT_SYSTEM_IN_NEURONAL_DEVELOPMENT_AND_PLASTICITY,0.1797153024911032,0.3615449026585723,0.13649043778041264,0.45361937913579226,1.3230621352995189,23,
WP_COPPER_HOMEOSTASIS,0.2564705882352941,0.41545862420836105,0.13077713797197438,-0.4639957173252906,-1.2380662698852392,14,
WP_CORTICOTROPIN_RELEASING_HORMONE_SIGNALING_PATHWAY,3.553384583698136e-5,0.0017792837980723983,0.557332238758646,-0.6686362055335017,-2.255677166422324,36,
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,4.386120288409868e-5,0.0017792837980723983,0.557332238758646,0.6011085528272175,2.1966076493984343,64,
WP_CYTOSOLIC_DNA_SENSING_PATHWAY,0.484573502722323,0.6092799188640973,0.07569463079327488,0.34058140212774796,0.9682303596062501,21,
WP_DEVELOPMENT_OF_URETERIC_COLLECTION_SYSTEM,0.6564748201438849,0.728942819770158,0.06024840861580194,0.32966561990685544,0.8234526213915869,12,
WP_DISTURBED_PATHWAYS_IN_DUCHENNE_MUSCULAR_DYSTROPHY,0.01009732791149594,0.051541584264650914,0.3807304007227924,-0.601118241556739,-1.8207613527862079,22,
WP_DNA_DAMAGE_RESPONSE,0.867595818815331,0.8869482375357257,0.04586203431179851,0.23719294895528714,0.6605937267040407,19,
WP_DNA_DAMAGE_RESPONSE_ONLY_ATM_DEPENDENT,0.005701252705086048,0.03573413538383876,0.40701791892395395,-0.5338180360575395,-1.8286964871206464,39,
WP_DNA_IR_DAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR,0.7562277580071174,0.8031984262063171,0.05312980547054692,0.25394517503668784,0.7406765693589827,23,
WP_DNA_IR_DOUBLE_STRAND_BREAKS_AND_CELLULAR_RESPONSE_VIA_ATM,0.8821490467937608,0.8979017083436494,0.044864511316856426,0.22696731210371546,0.6112368781741836,16,
