pathway,pval,padj,log2err,ES,NES,size,leadingEdge
KEGG_ALZHEIMERS_DISEASE,0.0017894846414337599,0.0290791254232986,0.45505986738722953,0.43402360685947855,1.8969227512901738,42,
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.3716577540106952,0.5892135124559802,0.07362127410143941,0.3509591522282551,1.080518791341855,12,
KEGG_APOPTOSIS,0.6057934508816121,0.7120265370670369,0.04744831936562972,0.25496886170112254,0.8939726101655466,18,
KEGG_AXON_GUIDANCE,0.1537433155080214,0.4205882352941177,0.12687572992985735,0.4208141514011239,1.2955855271606276,12,
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.21092757306226176,0.44099506578947373,0.10244940562982624,0.3716119527859886,1.2615064585657958,16,
KEGG_CALCIUM_SIGNALING_PATHWAY,0.5886792452830188,0.7120265370670369,0.04870108645215302,0.2587491096488144,0.8927286419766046,17,
KEGG_CARDIAC_MUSCLE_CONTRACTION,0.03330329034009736,0.3785103785103785,0.3217759180753611,0.4973502114209463,1.624207388572622,14,
KEGG_CELL_ADHESION_MOLECULES_CAMS,0.30657894736842106,0.5397972389991372,0.08289621345715653,0.36295491514156053,1.144552391457407,13,
KEGG_CELL_CYCLE,0.5152224824355972,0.6697892271662764,0.051530912208538955,0.24419390165900667,0.9549392004911869,25,
KEGG_CHEMOKINE_SIGNALING_PATHWAY,0.2775175644028103,0.515389762462362,0.08197787965012722,0.29529317104836744,1.1547668584500652,25,
KEGG_CHRONIC_MYELOID_LEUKEMIA,0.15147453083109919,0.4205882352941177,0.1281429168984153,0.43704141305403554,1.3157538719062312,11,
KEGG_CITRATE_CYCLE_TCA_CYCLE,0.46311475409836067,0.623396899743504,0.06378453903129748,0.34648108026979946,1.010925657273356,10,
KEGG_COLORECTAL_CANCER,0.46994535519125685,0.623396899743504,0.0630790410571939,0.34446432589562304,1.0050413857867697,10,
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,0.1181702668360864,0.4042667023339798,0.1429011493869481,0.4061068205099136,1.3786057555471414,16,
KEGG_ENDOCYTOSIS,0.0757020757020757,0.3785103785103785,0.17821987495197314,0.4013770260523307,1.4939271226016066,22,
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,0.3155737704918033,0.5397972389991372,0.0833634065110386,0.3910594183342136,1.140991592396942,10,
KEGG_ERBB_SIGNALING_PATHWAY,0.15625,0.4205882352941177,0.22496609354031374,-0.34392620957388265,-1.2910511586266173,11,
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,0.9584450402144772,0.9584450402144772,0.028856776356490522,0.17378201114218306,0.5231869273672436,11,
