pathway,pval,padj,log2err,ES,NES,size,leadingEdge
WP_16P11_2_PROXIMAL_DELETION_SYNDROME,0.23740053050397877,0.5592430965565294,0.09787732774245612,0.38617243930864253,1.2310258036271795,13,
WP_1P36_COPY_NUMBER_VARIATION_SYNDROME,0.14030612244897958,0.5115574081091323,0.13010563075112855,0.4087300271833534,1.385889876670887,16,
WP_2Q37_COPY_NUMBER_VARIATION_SYNDROME,0.07644110275689223,0.43432444748234217,0.1797823162983236,0.4362833184476533,1.52160677948863,18,
WP_5Q35_COPY_NUMBER_VARIATION,0.7356181150550796,0.8283987782151797,0.03722540092475086,0.20919555630640924,0.7787314065476926,23,
WP_7Q11_23_COPY_NUMBER_VARIATION_SYNDROME,0.6991260923845194,0.8040308747855918,0.04049348298595027,0.2239071196911001,0.800348226138311,20,
WP_ACUTE_VIRAL_MYOCARDITIS,0.5889487870619946,0.750489589775304,0.051845762486506596,0.28185665587401254,0.8796531765625111,12,
WP_ADIPOGENESIS,0.15725806451612903,0.5175983436853002,0.22798720285044224,-0.3153285258005852,-1.2963398121573588,13,
WP_ALZHEIMER_39_S_DISEASE,0.2513842746400886,0.5592430965565294,0.08431443206426534,0.2700417904211141,1.1882772792600653,44,
WP_ALZHEIMER_39_S_DISEASE_AND_MIRNA_EFFECTS,0.2513842746400886,0.5592430965565294,0.08431443206426534,0.2700417904211141,1.1882772792600653,44,
WP_AMINO_ACID_METABOLISM,0.29404145077720206,0.5592430965565294,0.08431443206426534,0.3525210165645376,1.1515782940422845,14,
WP_ANDROGEN_RECEPTOR_NETWORK_IN_PROSTATE_CANCER,0.46113989637305697,0.6702614772864199,0.06143641072012707,0.30393018750865575,0.9928469237098477,14,
WP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,0.013329101122408968,0.18512640447790232,0.3807304007227924,-0.3917012448479993,-1.787231036608545,17,
WP_ANGIOPOIETIN_LIKE_PROTEIN_8_REGULATORY_PATHWAY,0.3921832884097035,0.6388490215983477,0.07130529873400379,0.3377344802755204,1.0540436147863987,12,
WP_APOPTOSIS,0.3739130434782609,0.6376811594202899,0.14920754243532175,-0.2569802852368586,-1.0670172335750199,14,
WP_APOPTOSIS_MODULATION_AND_SIGNALING,0.6743589743589744,0.7978182372984794,0.04336369878832656,0.24212664785365356,0.806533907650881,15,
WP_APOPTOSIS_RELATED_NETWORK_DUE_TO_ALTERED_NOTCH3_IN_OVARIAN_CANCER,0.5551601423487544,0.7333908541846419,0.1063232559327084,-0.2504971431448707,-0.9216624969932896,10,
WP_ARYL_HYDROCARBON_RECEPTOR_PATHWAY_WP2586,0.7947295423023578,0.8564745748263076,0.03943665095255928,0.24785242125081292,0.7276040264138939,10,
WP_A_NETWORK_MAP_OF_MACROPHAGE_STIMULATING_PROTEIN_MSP_SIGNALING,0.5573770491803278,0.7333908541846419,0.05502111171631165,0.29995383176314633,0.9109677920251629,11,
WP_BARDET_BIEDL_SYNDROME,0.29680998613037446,0.5592430965565294,0.08756971155485113,0.39149253856833666,1.149278856893088,10,
WP_BRAIN_DERIVED_NEUROTROPHIC_FACTOR_BDNF_SIGNALING_PATHWAY,0.045283018867924525,0.33976860886534704,0.2377938344236881,0.47192461086687887,1.6265117608942832,17,
WP_BREAST_CANCER_PATHWAY,0.6765498652291105,0.7978182372984794,0.04549678100850074,0.2625241162020051,0.8193177912555073,12,
WP_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.7045735475896168,0.8040308747855918,0.039678720361338855,0.2207334186867173,0.7821800850739878,19,
WP_CALCIUM_REGULATION_IN_CARDIAC_CELLS,0.5030902348578492,0.7105989248846392,0.05513517633852569,0.2722137545326994,0.9646032709749763,19,
WP_CELL_CYCLE,0.8955773955773956,0.9175997905506101,0.02786991148742008,0.16666605838570636,0.6253262737640908,24,
WP_CHEMOKINE_SIGNALING_PATHWAY,0.29975429975429974,0.5592430965565294,0.08041999687615399,0.30480701334676097,1.1436271771195743,24,
WP_CHOLESTEROL_METABOLISM,0.1650485436893204,0.5175983436853002,0.12443416863039332,0.45186760793080594,1.326517970965316,10,
WP_CHROMOSOMAL_AND_MICROSATELLITE_INSTABILITY_IN_COLORECTAL_CANCER,0.2277580071174377,0.5592430965565294,0.17520404755855126,-0.3329192897888767,-1.224921051281585,10,
WP_CILIARY_LANDSCAPE,0.643281807372176,0.7825348824871345,0.042077210988939,0.22472003524466067,0.8775349919772275,27,
WP_CILIOPATHIES,0.2867737948084054,0.5592430965565294,0.083129129135339,0.3362901686910452,1.1916613004106749,19,
WP_CIRCADIAN_RHYTHM_GENES,0.007121643058736929,0.11895064317465431,0.40701791892395395,-0.36670694675137777,-1.8972026102755315,23,
WP_CKAP4_SIGNALING_PATHWAY_MAP,0.28921568627450983,0.5592430965565294,0.18302393838448722,-0.23780043864273023,-1.1133287292721699,18,
WP_COMPLEMENT_SYSTEM_IN_NEURONAL_DEVELOPMENT_AND_PLASTICITY,0.3073770491803279,0.5650313404050145,0.0847985102819124,0.3731079604757745,1.133138833212226,11,
WP_CORTICOTROPIN_RELEASING_HORMONE_SIGNALING_PATHWAY,0.005284128081032175,0.11895064317465431,0.40701791892395395,-0.42491640855555546,-1.9893640561983585,18,
WP_CYTOSOLIC_DNA_SENSING_PATHWAY,0.10646900269541779,0.4436964504283966,0.1563124030731863,0.46014038955146447,1.4360631437938542,12,
WP_DNA_IR_DAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR,0.9909326424870466,0.9909326424870466,0.02534155009766152,0.1327540977090931,0.43366701610249203,14,
WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK,0.7948084054388134,0.8564745748263076,0.03404637275796493,0.1972878233727976,0.6990994267560929,19,
WP_EBOLA_VIRUS_INFECTION_IN_HOST,0.3935309973045822,0.6388490215983477,0.07113273993278939,0.3360605434192239,1.0488193852274401,12,
WP_ECTODERM_DIFFERENTIATION,0.043635728969304406,0.33976860886534704,0.3217759180753611,-0.3408029613172435,-1.5955636163714813,18,
WP_EGFR_TYROSINE_KINASE_INHIBITOR_RESISTANCE,0.9074733096085409,0.9222289731794115,0.07808923069433449,-0.1708918472956958,-0.628768075822952,10,
WP_EGF_EGFR_SIGNALING_PATHWAY,0.5147420147420148,0.7105989248846392,0.053787280776029955,0.2604963584268016,0.977374869976028,24,
WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA,0.004136006243754901,0.11895064317465431,0.40701791892395395,0.4502718104099457,1.9131468916354413,36,
WP_EMBRYONIC_STEM_CELL_PLURIPOTENCY_PATHWAYS,0.17307692307692307,0.5175983436853002,0.2114001893849227,-0.31859151302159067,-1.2571807499609604,12,
WP_ENDOPLASMIC_RETICULUM_STRESS_RESPONSE_IN_CORONAVIRUS_INFECTION,0.16666666666666666,0.5175983436853002,0.2114001893849227,-0.3343741223012713,-1.3008647385692345,11,
WP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_IN_COLORECTAL_CANCER,0.7940414507772021,0.8564745748263076,0.03630184623592365,0.21699526376252382,0.7088571288434226,14,
WP_ERBB_SIGNALING_PATHWAY,0.14074074074074075,0.5115574081091323,0.23112670967383428,-0.3451583852862221,-1.3428203401332215,11,
WP_EUKARYOTIC_TRANSCRIPTION_INITIATION,0.1051912568306011,0.4436964504283966,0.15851410542482433,0.47619724024603716,1.4462237270499412,11,
WP_EXTRAFOLLICULAR_AND_FOLLICULAR_B_CELL_ACTIVATION_BY_SARS_COV_2,0.07277628032345014,0.43319214478244134,0.19189224038483796,0.4884257478635334,1.5243395948581924,12,
WP_FERROPTOSIS,0.24271844660194175,0.5592430965565294,0.09923333437711905,0.41297032433532377,1.2123297777743525,10,
WP_FOCAL_ADHESION,0.13607305833869504,0.5115574081091323,0.24924655438329513,-0.247782476366901,-1.3406862195074616,26,
WP_FOCAL_ADHESION_PI3K_AKT_MTOR_SIGNALING_PATHWAY,0.4244521337946944,0.6470306917602049,0.05986031177644726,0.25708080218710666,1.0413979816597174,31,
WP_FOLATE_METABOLISM,0.3148148148148148,0.5703166935050994,0.15016980212840597,-0.2889534257353069,-1.1241579343546455,11,
WP_FRAGILE_X_SYNDROME,0.2679245283018868,0.5592430965565294,0.08783126344801238,0.3485704834631882,1.201365594839488,17,
WP_GASTRIN_SIGNALING_PATHWAY,0.06055542396888332,0.37847139980552075,0.3217759180753611,-0.2945009187507225,-1.5102712240927854,22,
WP_GENES_RELATED_TO_PRIMARY_CILIUM_DEVELOPMENT_BASED_ON_CRISPR,0.05641025641025641,0.37112010796221323,0.21392785549235627,0.4739608505259375,1.5787832534619188,15,
WP_GLUCOCORTICOID_RECEPTOR_PATHWAY,0.8688524590163934,0.9050546448087432,0.03456643220635099,0.2136543764227785,0.6488740430562653,11,
WP_G_PROTEIN_SIGNALING_PATHWAYS,0.3743169398907104,0.6376811594202899,0.07436253844225256,0.3548007834062936,1.0775394478829279,11,
WP_HAIR_FOLLICLE_DEVELOPMENT_CYTODIFFERENTIATION_PART_3_OF_3,0.004333679588255698,0.11895064317465431,0.40701791892395395,-0.5445682553203988,-2.118613833555568,11,
WP_HEPATITIS_B_INFECTION,0.7677902621722846,0.8493255112525272,0.03614919293989572,0.20679429881009895,0.7391790419907632,20,
WP_HIPPO_MERLIN_SIGNALING_DYSREGULATION,0.6346153846153846,0.7825348824871345,0.04613791602697367,0.25405876009701495,0.8462802684892134,15,
WP_HISTONE_MODIFICATIONS,0.8266129032258065,0.8814205293767993,0.08998607949971373,-0.1755826431225416,-0.7218337447450361,13,
WP_IL6_SIGNALING_PATHWAY,0.8391123439667129,0.8814205293767993,0.03691605933168489,0.23126743050534707,0.6789165615767976,10,
WP_IL_24_SIGNALING_PATHWAY,0.24752475247524752,0.5592430965565294,0.0847985102819124,0.26856603854235067,1.1964242865424064,46,
WP_IL_3_SIGNALING_PATHWAY,0.08742355860638439,0.4431960049937578,0.2878051305355643,-0.38513998629800966,-1.4983666323816294,11,
WP_IL_4_SIGNALING_PATHWAY,0.15363881401617252,0.5175983436853002,0.1275053153001827,0.4312385738250064,1.3458627760453372,12,
WP_INSULIN_SIGNALING,0.5397796817625459,0.7255103249496584,0.0514264916187015,0.25413880417557577,0.9460328504498514,23,
WP_INTEGRIN_MEDIATED_CELL_ADHESION,0.6729559748427673,0.7978182372984794,0.04258777792732544,0.2335303649547946,0.804874076024938,17,
WP_JOUBERT_SYNDROME,0.19811320754716982,0.5592430965565294,0.11012226383553594,0.4063451000381212,1.2681721384962377,12,
WP_LEPTIN_SIGNALING_PATHWAY,0.44878706199460916,0.6678378898729304,0.06464845684219278,0.32252480890166324,1.0065753877296435,12,
WP_MALE_INFERTILITY,0.5727762803234502,0.7458024483378257,0.05312980547054692,0.28570292382790496,0.8916570861847993,12,
WP_MAPK_SIGNALING_PATHWAY,0.45506912442396313,0.6692193006234752,0.05652995250563114,0.24797448714778683,1.02516029715768,33,
WP_MEASLES_VIRUS_INFECTION,0.10648714810281518,0.4436964504283966,0.14826150047510658,0.3756461312517689,1.398344426233526,23,
WP_MELANOMA,0.22052704576976423,0.5592430965565294,0.10512513159700079,0.42428035724302887,1.2455318963616564,10,
WP_METABOLIC_EPILEPTIC_DISORDERS,0.24123989218328842,0.5592430965565294,0.09787732774245612,0.39157232676075315,1.2220674371551306,12,
WP_METABOLIC_REPROGRAMMING_IN_COLON_CANCER,0.14323607427055704,0.5115574081091323,0.13145761164276346,0.43541395491069806,1.3879960328448917,13,
WP_METAPATHWAY_BIOTRANSFORMATION_PHASE_I_AND_II,0.7075471698113207,0.8040308747855918,0.04345068267231251,0.25430235254591155,0.7936582924772997,12,
WP_MITOCHONDRIAL_COMPLEX_IV_ASSEMBLY,0.05641025641025641,0.37112010796221323,0.21392785549235627,0.472992214952016,1.5755566881852345,15,
WP_MITOCHONDRIAL_COMPLEX_I_ASSEMBLY_MODEL_OXPHOS_SYSTEM,0.032138442521631644,0.3090234857849196,0.28201335001172506,0.473257445401773,1.6770118050481324,19,
WP_MRNA_PROCESSING,0.7037914691943128,0.8040308747855918,0.03777050013247901,0.21036612192305557,0.8146918239023762,26,
WP_MYOMETRIAL_RELAXATION_AND_CONTRACTION_PATHWAYS,0.40722291407222916,0.6453804347826086,0.06553210292824141,0.2914628513906354,1.056582038073777,21,
WP_NETWORK_MAP_OF_SARS_COV_2_SIGNALING_PATHWAY,0.0462085308056872,0.33976860886534704,0.22798720285044224,0.40484039408693046,1.5678387567018732,26,
WP_NEUROINFLAMMATION_AND_GLUTAMATERGIC_SIGNALING,0.5063775510204082,0.7105989248846392,0.05629407497009682,0.28087687298214903,0.9523753797572441,16,
WP_NF1_COPY_NUMBER_VARIATION_SYNDROME,0.2775800711743772,0.5592430965565294,0.15740289930528326,-0.31418167339460534,-1.1559791140729083,10,
WP_NONALCOHOLIC_FATTY_LIVER_DISEASE,0.030232558139534883,0.3090234857849196,0.28201335001172506,0.41544517543090775,1.6715034704214708,30,
WP_NON_GENOMIC_ACTIONS_OF_1_25_DIHYDROXYVITAMIN_D3,0.5353675450762829,0.7255103249496584,0.057609110864425044,0.3225639782425121,0.9469298228393469,10,
WP_NOTCH_SIGNALING,0.644808743169399,0.7825348824871345,0.04831175810550189,0.27738014696205915,0.8424109088533676,11,
