pathway,pval,padj,log2err,ES,NES,size,leadingEdge
WP_10Q11_21Q11_23_COPY_NUMBER_VARIATION_SYNDROME,0.6427320490367776,0.7267816246800485,0.059989249649032995,0.2975129544490144,0.8372168338637243,11,
WP_16P11_2_PROXIMAL_DELETION_SYNDROME,0.25493716337522443,0.43576468623439524,0.11237851911047504,0.4178900469262073,1.211370673743684,12,
WP_22Q11_2_COPY_NUMBER_VARIATION_SYNDROME,0.06272401433691756,0.22488853920797272,0.24133997681509095,0.48702433614421864,1.5188047308957957,15,
WP_2Q37_COPY_NUMBER_VARIATION_SYNDROME,0.023543177113802306,0.11536156785763131,0.35248785758361917,-0.5914353844050227,-1.7496434265989222,14,
WP_5Q35_COPY_NUMBER_VARIATION,0.46112115732368897,0.6106739651043449,0.07808923069433449,0.31353895060636483,1.0113066706591698,17,
WP_7Q11_23_COPY_NUMBER_VARIATION_SYNDROME,0.15770609318996415,0.31757254382088673,0.1473312136993771,0.43374263808198976,1.352643639793541,15,
WP_ACUTE_VIRAL_MYOCARDITIS,0.6339285714285714,0.7223837209302325,0.07253518643945886,-0.2869307290865329,-0.8488272383981917,14,
WP_ADIPOGENESIS,0.22991071428571427,0.40719126506024095,0.13500203382863138,-0.42829208458019274,-1.2670165671672315,14,
WP_AGE_RAGE_PATHWAY,0.36607142857142855,0.5435606060606061,0.10319746694530717,-0.3670160892706153,-1.0857437768867484,14,
WP_ALZHEIMER_39_S_DISEASE,0.04727272727272727,0.19303030303030302,0.28201335001172506,0.4268968288019239,1.6114876610954192,31,
WP_ALZHEIMER_39_S_DISEASE_AND_MIRNA_EFFECTS,0.04727272727272727,0.19303030303030302,0.28201335001172506,0.4268968288019239,1.6114876610954192,31,
WP_AMINO_ACID_METABOLISM,0.17509025270758122,0.33866140984229526,0.13959967345192228,0.42955443616870664,1.309279230401712,14,
WP_AMP_ACTIVATED_PROTEIN_KINASE_SIGNALING,0.26303854875283444,0.43939393939393934,0.12625398784911535,-0.44073362717732556,-1.199508249628442,10,
WP_ANDROGEN_RECEPTOR_NETWORK_IN_PROSTATE_CANCER,0.596529284164859,0.6959508315256688,0.07417589655880091,-0.2520099322984212,-0.8817917694861076,27,
WP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,0.5927601809954751,0.6959508315256688,0.07667468724900914,-0.28807031811883377,-0.88229284802988,16,
