pathway,pval,padj,log2err,ES,NES,size,leadingEdge
WP_10Q11_21Q11_23_COPY_NUMBER_VARIATION_SYNDROME,0.6474820143884892,0.7321527393469839,0.060903934745241806,0.2975129544490144,0.8390524125826407,11,
WP_16P11_2_PROXIMAL_DELETION_SYNDROME,0.2554347826086957,0.4470108695652174,0.11284335567556247,0.4178900469262073,1.1963040928519324,12,
WP_22Q11_2_COPY_NUMBER_VARIATION_SYNDROME,0.09584086799276673,0.2731633535004322,0.19381330272531053,0.48702433614421864,1.4730895721348072,15,
WP_2Q37_COPY_NUMBER_VARIATION_SYNDROME,0.031842062528093705,0.15602610638765915,0.3217759180753611,-0.5914353844050227,-1.7223399122450005,14,
WP_5Q35_COPY_NUMBER_VARIATION,0.4753199268738574,0.6294777409951084,0.07707367349441024,0.31353895060636483,0.9879023942840978,17,
WP_7Q11_23_COPY_NUMBER_VARIATION_SYNDROME,0.1735985533453888,0.34957516906537195,0.14040623852334236,0.43374263808198976,1.3119298353904354,15,
WP_ACUTE_VIRAL_MYOCARDITIS,0.6283783783783784,0.7247916666666666,0.07343814108388569,-0.2869307290865329,-0.8355811298852956,14,
WP_ADIPOGENESIS,0.22522522522522523,0.4138513513513513,0.1372507796101328,-0.42829208458019274,-1.2472445356193216,14,
WP_AGE_RAGE_PATHWAY,0.38963963963963966,0.5634870164281929,0.09992769737310925,-0.3670160892706153,-1.0688005412844326,14,
WP_ALZHEIMER_39_S_DISEASE,0.05525846702317291,0.2158717105263158,0.25720646646883816,0.4268968288019239,1.5566067330315594,31,
WP_ALZHEIMER_39_S_DISEASE_AND_MIRNA_EFFECTS,0.05525846702317291,0.2158717105263158,0.25720646646883816,0.4268968288019239,1.5566067330315594,31,
WP_AMINO_ACID_METABOLISM,0.1917562724014337,0.3742504996668887,0.13214726060877433,0.42955443616870664,1.2940391274956489,14,
WP_AMP_ACTIVATED_PROTEIN_KINASE_SIGNALING,0.2782608695652174,0.4701649175412294,0.11934844059101546,-0.44073362717732556,-1.1924051669679885,10,
WP_ANDROGEN_RECEPTOR_NETWORK_IN_PROSTATE_CANCER,0.5861297539149888,0.7004965351666939,0.07667468724900914,-0.2520099322984212,-0.8998195867073778,27,
WP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,0.6129753914988815,0.7151379567486951,0.07436253844225256,-0.28807031811883377,-0.8761166128775404,16,
WP_ANGIOPOIETIN_LIKE_PROTEIN_8_REGULATORY_PATHWAY,0.8118081180811808,0.8403929109713631,0.051530912208538955,0.25546290448418774,0.6913926287272689,10,
WP_APOPTOSIS,0.042043298197772,0.18728378288098435,0.3217759180753611,-0.5539373324185004,-1.684705673927561,16,
WP_APOPTOSIS_MODULATION_AND_SIGNALING,0.09523809523809523,0.2731633535004322,0.21925034670375515,-0.4843492579622884,-1.516035770286995,18,
WP_ATM_SIGNALING_PATHWAY,0.3688888888888889,0.5608695652173913,0.10244940562982624,-0.38921396402384345,-1.0925150212640486,12,
WP_A_NETWORK_MAP_OF_MACROPHAGE_STIMULATING_PROTEIN_MSP_SIGNALING,0.08222222222222222,0.2685925925925926,0.2343926472946861,-0.549480418919046,-1.5724403416943997,13,
WP_BRAIN_DERIVED_NEUROTROPHIC_FACTOR_BDNF_SIGNALING_PATHWAY,0.2924187725631769,0.47761732851985556,0.10395847155995677,0.35866171124285795,1.1803510613798662,20,
WP_BREAST_CANCER_PATHWAY,0.22939866369710468,0.41631609337622705,0.13500203382863138,-0.4228554142623112,-1.2608432259258986,15,
WP_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.026113920116412465,0.14217578730046787,0.35248785758361917,-0.6051251063865942,-1.7622062360702444,14,
WP_CALCIUM_REGULATION_IN_CARDIAC_CELLS,0.5623869801084991,0.6854273459566901,0.06799225915440577,0.3017447725822764,0.9126793980280995,15,
WP_CELL_CYCLE,0.04117256611568514,0.18728378288098435,0.3217759180753611,0.4746990659736559,1.7139048250829663,29,
WP_CHEMOKINE_SIGNALING_PATHWAY,0.030509225491764717,0.15602610638765915,0.35248785758361917,0.5460198339614204,1.7204060301085369,17,
WP_CHOLESTEROL_METABOLISM,0.11439114391143912,0.2756639041800254,0.17821987495197314,0.52251431004171,1.4141487316790213,10,
WP_CHROMOSOMAL_AND_MICROSATELLITE_INSTABILITY_IN_COLORECTAL_CANCER,0.3130630630630631,0.49484161580935776,0.11378726182188,-0.3934223721953138,-1.1456992122372955,14,
WP_CILIARY_LANDSCAPE,0.5919854280510018,0.7017891768023974,0.06583119583688658,0.24028789601270278,0.9091060662706602,37,
WP_CILIOPATHIES,0.5507246376811594,0.680306905370844,0.06911984565510101,0.31126202603282405,0.913381689744817,13,
WP_CIRCADIAN_RHYTHM_GENES,0.0030711034719528084,0.05016135670856253,0.4317076958033464,-0.5285195464205926,-1.9567587001529605,31,
WP_CKAP4_SIGNALING_PATHWAY_MAP,0.7321428571428571,0.7954644979668439,0.06538341954687732,-0.22982425979690957,-0.753561161010627,21,
WP_CLEAR_CELL_RENAL_CELL_CARCINOMA_PATHWAYS,0.3727598566308244,0.5608695652173913,0.08916471178206781,0.36054494641663776,1.0861470132756612,14,
WP_CLOCK_CONTROLLED_AUTOPHAGY_IN_BONE_METABOLISM,0.08222222222222222,0.2685925925925926,0.2343926472946861,-0.5677269255251769,-1.5935969709306594,12,
WP_COMPLEMENT_SYSTEM,0.10762331838565023,0.2756639041800254,0.20429475651688608,-0.5658293088871965,-1.5423652910888201,11,
WP_CORTICOTROPIN_RELEASING_HORMONE_SIGNALING_PATHWAY,0.006912672996242402,0.06872805930148428,0.40701791892395395,-0.5762575257398265,-1.9100191779794229,22,
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,0.05580357142857143,0.2158717105263158,0.2878571172551493,-0.5043479950327044,-1.6302369583208536,20,
WP_CYTOSOLIC_DNA_SENSING_PATHWAY,0.6748878923766816,0.7567567567567568,0.06961334388509648,-0.28689706162832757,-0.7820380864348603,11,
WP_DNA_DAMAGE_RESPONSE,0.14874551971326164,0.3123655913978495,0.15214492236756472,0.45232914696841175,1.3626482824960673,14,
WP_DNA_DAMAGE_RESPONSE_ONLY_ATM_DEPENDENT,0.1091314031180401,0.2756639041800254,0.20207170902115992,-0.5035071226061805,-1.501325330907621,15,
WP_DNA_IR_DAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR,0.1480804387568556,0.3123655913978495,0.15419096658142434,0.3982271241763983,1.3625352264054968,24,
WP_DNA_IR_DOUBLE_STRAND_BREAKS_AND_CELLULAR_RESPONSE_VIA_ATM,0.409009009009009,0.5672106068332483,0.08431443206426534,0.33590514493723084,1.0366653885142882,16,
WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK,0.1166077738515901,0.27647327026102814,0.1723243449009459,0.39443962650400277,1.4241274683836238,29,
WP_DNA_REPLICATION,0.007041316824726513,0.06872805930148428,0.40701791892395395,0.6511094855035446,2.00944426701473,16,
